t,Vmca,SaO2sup,TOI,Pa_CO2,HbD,HbT,CCO,P_a
0.0,47.0,0.9985185714285714,65.12417072658016,35.252914,0.0,0.0,0.0,76.42
1.0,48.9,0.9949683333333332,64.82529542894245,35.252914,-0.3275628146200483,-0.3833572004769616,-0.01610964662065813,75.32
2.0,52.68,1.0,64.99932732684256,35.252914,-0.4548202653432375,0.26013652498220613,-0.21895505407134835,77.6
3.0,54.0,0.9982816666666667,65.09589149851999,35.252914,0.06864699338267172,0.308855531247451,-0.10652755075115534,77.98
4.0,54.0,1.0,65.53525385827277,35.252914,0.3447630389651706,1.3612322708273314,-0.2596877788283981,78.06
5.0,52.3,0.9974533333333333,65.53240557928343,35.252914,0.35478011315928043,0.8297599205605143,-0.14004322283912388,79.2
6.0,49.0,1.0,64.98836546300423,35.252914,0.24576656856762075,0.12236321634669323,-0.011330274773010823,78.1
7.0,48.7,1.0,64.96387901985625,35.252914,-0.6842650985766575,0.09633372220048411,-0.11088119150351713,75.74
8.0,48.0,1.0,64.89028297272846,35.252914,0.2717212392860823,-0.09988246124599938,0.03687282661316668,74.62
9.0,49.5,1.0,65.04451701316113,35.252914,-0.11104588971998375,0.0021466431553867626,-0.04191225805658732,74.46
10.0,53.3,1.0,65.1046623581852,35.252914,-0.4267317984616543,0.12006324046939,-0.10077542310239422,78.02
11.0,52.08,1.0,65.24656950560124,35.252914,-0.4692022984863977,-0.47121469458661247,0.0587239185462432,80.56
12.0,45.74,0.9933116666666667,64.90311846634673,35.252914,-0.49106354442298417,0.4597730075286348,-0.1706740023380109,76.9
13.0,45.52,1.0,65.5566890115061,35.252914,-0.024431511670388928,0.4158608666520037,-0.13401925338338427,76.0
14.0,47.52,1.0,64.68749512514799,35.252914,-0.44093658183440854,0.7347128645485865,-0.124961088136341,75.64
15.0,49.26,1.0,64.49777336141493,35.252914,-0.587398061227533,-0.3366980041555203,0.047043032350463185,76.38
16.0,49.8,1.0,65.18942426982284,35.252914,-0.577898864740869,0.05873079461492392,-0.08236482496205896,76.54
17.0,49.2,1.0,65.3841112666703,35.252914,-0.8069183919791143,0.09668294933219895,-0.09620582278438523,76.38
18.0,49.78,1.0,65.13920146730747,35.252914,-0.2956178946011023,0.07227921561090313,-0.048220535487098794,77.3
19.0,49.0,0.9974533333333333,65.9719149913601,35.252914,-0.7439538112545069,-0.44346938302524774,0.036330718720068836,77.84
20.0,48.34,1.0,65.55638444074599,35.252914,-0.6939789185309267,-0.20919202172897905,-0.08171038920901655,77.82
21.0,46.16,0.99414,64.66249470009488,35.252914,-0.9017513574534255,0.10638891093193084,-0.15422058077169104,74.88
22.0,47.32,1.0,64.64632877972626,35.252914,-0.6361991791591965,0.3782710030866705,-0.196685430604424,73.64
23.0,48.84,1.0,65.36307974808237,35.252914,-0.890490610995336,0.03289802035320122,-0.11643127362541442,74.34
24.0,48.72,1.0,65.13425373103901,35.252914,-0.6821427651992635,-0.12926435541674228,-0.08610701253167455,73.2
25.0,52.0,1.0,63.97499051302207,35.252914,-0.8491980561184397,-0.3799529807691349,-0.024340364047117348,72.78
26.0,52.12,0.9957966666666668,65.02174080581952,35.252914,-0.6476466402103105,-0.19743397832689402,-0.04073870991628343,73.62
27.0,52.64,1.0,64.45515190403962,35.252914,-0.6311874195746993,-0.09007129159066875,-0.10564009537222221,74.76
28.0,50.24,1.0,64.79659063752518,35.252914,-0.8545591252217404,-0.06359643178530859,-0.18640301840205672,75.76
29.0,51.76,1.0,65.15420307390777,35.252914,-1.3987229120973264,-0.1356807309674713,-0.21111638138905872,75.78
30.0,49.76,1.0,65.44997613149644,35.252914,-1.4090205946541345,-0.28766645667308754,-0.23170976236344867,77.36
31.0,47.84,1.0,66.12459888735886,35.252914,-1.4339406013426577,-1.1270289129901876,-0.04723793696481915,78.34
32.0,46.0,1.0,65.24930764484567,35.252914,-1.083384657779056,-1.1282665483370107,0.03846088534904494,77.76
33.0,46.0,1.0,64.9036223752939,35.252914,-0.6854029242272018,-0.5621634727154832,-0.09112722848269807,75.96
34.0,46.08,1.0,65.2783585536492,35.252914,-0.724753477728955,-0.19463843584881937,-0.148690401149465,75.1
35.0,47.08,1.0,65.65762897411982,35.252914,-1.1870230660851768,0.035205358172812104,-0.3275575757105775,75.28
36.0,48.04,1.0,65.24298786050473,35.252914,-1.2816296923024073,-0.24540296523290772,-0.24569187358392802,75.36
37.0,49.04,1.0,64.76826001294886,35.252914,-1.2192610261833765,-0.7640730860910355,-0.165706379108456,75.28
38.0,49.96,1.0,64.73704507683742,35.252914,-1.0345794887947708,-0.030860545112586735,0.012550731577037982,75.14
39.0,48.88,0.9982816666666667,65.42853982606046,35.252914,-0.9956241462930966,-0.35479975761093724,0.0913113270357966,75.34
40.0,46.04,1.0,65.98600961572565,35.252914,-0.8114245640994029,-0.44424511606621203,-0.06309677079459435,75.16
41.0,47.0,1.0,65.17564994586158,35.252914,-0.9048004096838875,-0.39551355823089834,-0.13442003968354718,74.9
42.0,49.0,1.0,65.44980789477167,35.252914,-1.048802137605908,-0.49298722142130147,-0.12778139961310644,73.04
43.0,50.0,1.0,65.21200172647616,35.252914,-1.0514747387578995,-0.7208893665961268,-0.06422261830417718,74.4
44.0,52.0,1.0,65.27162060902326,35.252914,-0.8604960837178766,-0.695173380164419,0.0068495629098537965,75.16
45.0,48.0,1.0,65.1882478795029,35.252914,-0.5045662601047585,-0.6327059982079131,0.027119214872142,76.32
46.0,46.12,1.0,65.74765145772385,35.252914,-0.5601202429098422,-0.22076415030381258,-0.13595934864263165,75.84
47.0,46.0,1.0,65.21016164058612,35.252914,-0.8549389461583241,-0.17304641870795295,-0.17783216250892042,74.56
48.0,45.04,1.0,64.80951763777055,34.595259638399995,-0.9018213687065234,-0.3984578145629111,-0.11746104188109532,72.72
49.0,51.72,1.0,65.34122682223206,34.502852,-0.8800707761843128,-0.45076876110121344,-0.11434716129063324,74.0
50.0,52.0,1.0,65.77184456043231,34.502852,-0.7844572189573855,-0.6575351398909922,0.012160458595420726,75.22
51.0,49.3,1.0,66.05217458238627,34.502852,-0.5971077510019359,-0.756250843129226,0.10204848415195639,74.74
52.0,47.2,1.0,64.79903881405917,34.502852,-0.7149510982032713,-0.4373371552010737,-0.048003208396338745,74.18
53.0,47.0,1.0,65.28955302552845,34.502852,-0.9750360699443842,-0.5970215391705374,-0.10701718130505014,73.78
54.0,48.84,1.0,64.10488209215241,34.502852,-0.8924957611856064,-1.2495889453828726,0.04026752267323124,74.78
55.0,52.68,1.0,64.99768396130526,34.502852,-0.9728146140029033,-1.3897810406379447,0.07399016304836831,76.1
56.0,55.58,1.0,66.1163185863861,34.502852,-1.165406930099675,-0.7331987207612023,-0.07150119729697182,80.58
57.0,56.0,1.0,65.45514049790067,34.502852,-0.8623016143932216,-0.23923957070700874,-0.08063773276908583,83.0
58.0,49.98,1.0,65.39330778055842,34.502852,-0.5741248853313226,-0.22354623168161447,-0.009809530550981606,81.94
59.0,42.98,1.0,65.35912229323127,34.502852,-0.7770410566078193,-0.4366096194788548,-0.03230179633977249,80.2
60.0,43.76,1.0,64.79424590471132,34.502852,-0.8387853516358501,-0.4099667545899375,-0.14795259898014956,75.2
61.0,44.0,0.9924833333333334,65.5347899496674,34.502852,-0.6255300149287963,-0.1685112251040173,-0.1872547302188844,73.7
62.0,44.0,0.9949683333333332,65.01820060045827,34.502852,-0.6194129235330345,-0.12766590208325584,-0.11408655147968963,71.3
63.0,53.02,0.9924833333333334,65.95674453446516,34.502852,-0.5259698279868857,0.09329699610668075,-0.16224671805761975,72.74
64.0,55.82,1.0,66.02318156770848,34.502852,-0.36903958832693,-0.12720170423034874,-0.11870091875137344,75.8
65.0,56.0,1.0,64.99118233879958,34.502852,-0.22575701401068446,-0.16281747240273142,-0.07959374484898864,77.54
66.0,55.22,1.0,66.123103470514,34.502852,-0.2460505411267677,-0.12957901501359323,-0.09564643303867279,78.6
67.0,50.32,1.0,66.04786142071434,34.502852,-0.6517857952757934,-0.5585848825842594,-0.038312274631056964,77.92
68.0,45.88,1.0,65.73283506594767,34.502852,-1.0491284941291052,-0.8042261900854634,-0.022349344184944005,75.78
69.0,45.78,1.0,65.4345880598982,34.502852,-1.1272672833710788,-0.6409412818497126,-0.0742569576933441,72.64
70.0,47.56,1.0,65.2005869061595,34.502852,-0.8473943729844737,-0.5188105211032431,-0.028173407881633326,71.5
71.0,50.96,1.0,64.54705732429144,34.502852,-0.4277363819006883,-0.0555618800720818,-0.11898417322979787,71.34
72.0,52.74,1.0,65.38145642373807,34.502852,-0.3314028866331646,-0.029629887672017047,-0.07605199740473871,73.54
73.0,50.04,0.9974533333333333,65.34263193240565,34.502852,-0.1772283781924857,0.03788255437853197,-0.050225097658320936,76.16
74.0,49.0,1.0,66.00589631438062,34.502852,-0.2583636965882754,-0.26053500627574894,-0.0025258092282876557,76.28
75.0,46.28,1.0,66.40598572858295,34.502852,-0.11289998711319583,-0.4530458064190535,0.001664349019890335,75.18
76.0,45.68,1.0,66.54727567229752,34.502852,-0.23328592523519018,-0.5584953802249437,0.0009193734997184691,73.38
77.0,46.0,0.99414,66.31380830150714,34.502852,-0.5221708791292653,-0.2980200258179493,-0.09596752308012793,73.82
78.0,50.2,0.9974533333333333,66.23145136976552,34.502852,-0.5336176729691477,0.008228294106641179,-0.163027889384868,72.4
79.0,53.4,0.9966249999999998,65.8273653836216,34.502852,-0.22442636847259628,0.2899972142644615,-0.17639670131410332,75.96
80.0,50.8,0.9949683333333332,65.61328628449836,34.59885993600002,-0.22105898160508272,0.1893475059734324,-0.12367383361561832,77.94
81.0,47.72,1.0,66.04189561595916,35.252914,-0.36151909468621435,-0.2354052216624931,0.034951604446899036,76.14
82.0,48.28,0.9974533333333333,65.15737522343203,35.252914,-0.6997559690637638,-0.5300532028744152,0.011788432491489795,75.1
83.0,49.0,0.9957966666666668,65.7095923732534,35.252914,-0.47259154223983324,-0.15230866564585008,-0.12126121854763926,74.26
84.0,50.98,1.0,65.06041848505075,35.2271118672,-0.5784990473070415,-0.1534853130420039,-0.0664028501020903,74.56
85.0,55.0,1.0,66.42929930446601,34.502852,-0.4141940227243798,-0.24448861101607014,-0.01924019802569216,76.4
86.0,57.0,1.0,65.67271609021407,34.502852,-0.6858184092993546,-0.261532474971338,0.021914257814682692,80.64
87.0,51.6,1.0,65.33154881811963,35.226061780399974,-0.23420164693241477,0.17150151301515124,-0.04986195145547588,82.18
88.0,48.6,1.0,65.41225880163148,35.252914,-0.4778418345128781,0.037890382412892123,-0.012146089066570786,77.86
89.0,48.38,1.0,65.53110168667033,35.252914,-0.2545006168149404,-0.37079379631507015,0.02976677363331962,77.54
90.0,48.0,0.9908266666666666,65.73590888615523,35.252914,-0.5883921297109449,-0.5887790957938632,0.11804242414025279,76.14
91.0,48.0,1.0,65.20227248037654,35.252914,-0.38873553238018616,-0.11093686143269504,-0.044890819184449995,74.4
92.0,48.56,1.0,65.27783844913507,35.252914,-0.5418731763376576,-0.47274642074294343,0.06223202330018121,73.16
93.0,49.0,1.0,64.78258189536409,35.252914,-0.21483961863719866,-0.5003949511791784,0.07419589409835417,71.66
94.0,54.04,1.0,65.12042463309986,35.252914,-0.2557681281681685,-0.22609677984441104,-0.07052588482268257,70.88
95.0,58.0,1.0,64.7767911281707,35.252914,-0.21627192159294906,-0.16414601077070967,-0.023866198974428172,75.1
96.0,55.4,1.0,65.2177980611048,35.252914,-0.1524561947629649,-0.040756751086580556,-0.08017725282643672,75.96
97.0,53.0,1.0,64.83417628919257,35.252914,-0.571397869236198,0.5220781206206841,-0.21376322310982473,75.94
98.0,50.92,0.9974533333333333,64.86080812833727,35.252914,-0.5750816152381099,-0.23364919951711274,-0.09836539625562704,75.98
99.0,47.44,1.0,65.37390624269659,34.74032162920001,-0.7559336362381265,-0.34709607236993784,-0.15636029266876694,75.84
100.0,49.36,1.0,65.1811795880327,34.502852,-1.053338459390846,-0.8283315023921941,0.009551086328852779,75.48
101.0,53.48,0.9957966666666668,65.29777798967591,34.502852,-0.4012172977243274,0.05062685652831119,-0.18005182296504657,76.14
102.0,53.52,0.9916550000000001,65.95742856146059,34.502852,-0.2622268553342766,0.22112263357708772,-0.09252703889856972,77.32
103.0,51.08,1.0,65.17095695601434,34.502852,-0.39116022870088113,0.8994935791789118,-0.2501012814901919,77.28
104.0,48.16,1.0,65.38399089029251,34.502852,-0.8926305051451453,0.2111640007303622,-0.16622721565395945,75.72
105.0,46.16,1.0,65.19856461713745,34.502852,-1.206339123057419,-0.315144388200427,-0.09547664179820943,74.68
106.0,46.76,1.0,64.92278297786977,34.502852,-0.886789376083112,-0.8376933833658863,0.008441520315593703,73.26
107.0,51.2,1.0,65.34290971654714,34.502852,-0.5852743545105741,0.04833522266305651,-0.16039415084093533,72.1
108.0,55.76,0.9982816666666667,65.3728251991686,34.502852,-0.43186278248706805,-0.3648087975145735,0.07374847070402712,74.24
109.0,56.48,1.0,65.96517893238666,34.502852,-0.2129240152990815,0.18016118520023464,-0.06730623455384668,78.28
110.0,54.0,1.0,65.09142993663069,34.502852,-0.7602389629633635,-0.02576944032102177,-0.1348425434679548,81.04
111.0,51.34,1.0,65.04667519390561,34.502852,-0.644280759205079,-1.00081867237706,0.113329071953437,81.86
112.0,47.8,0.9933116666666666,64.42895260216387,34.502852,-1.1980107969021365,-0.8931525989669873,-0.020792845900924506,79.0
113.0,48.2,0.9908266666666669,65.55453209758134,34.502852,-0.7310097365514532,-0.5443019183964238,-0.07964674120758022,79.16
114.0,47.0,0.99627,65.79524595768629,34.502852,-0.5855522566130505,-0.7217986106117392,0.05559432500152192,77.62
115.0,47.68,1.0,65.26110679619744,34.502852,-0.4314927405223582,0.10032204729040284,-0.12514362894466932,74.22
116.0,48.66,1.0,65.46268019501935,34.502852,-0.7846000573363503,0.7088389425993805,-0.27061169959704445,72.62
117.0,50.04,1.0,65.67180555147658,34.502852,0.026279024765863634,0.5222164605738816,-0.2763767045058,71.4
118.0,53.64,1.0,65.99615639420125,34.502852,-0.6580008884644692,-0.84843294585794,0.07694578704990762,75.18
119.0,53.0,1.0,65.89331927100054,34.502852,-0.30442319014465796,-0.881606794615481,0.08979784872085278,76.42
120.0,51.2,1.0,65.4566228886625,34.502852,-0.39556357425522104,-0.36477344644003984,-0.019830366485507844,76.32
121.0,46.4,1.0,65.03608660834705,34.502852,-0.40348664080605334,0.00018723751583682446,-0.17018725679349264,75.68
122.0,45.0,1.0,65.79648222823191,34.502852,-0.7920299402403023,-0.5666859427263188,-0.08048944734708821,75.8
123.0,45.9,1.0,65.4125035843169,34.502852,-0.8499844922903532,-0.5630892862484089,-0.08252380770984066,74.84
124.0,48.52,0.99911,65.01861062896018,34.502852,-1.0424799742895208,-0.8352789609631683,0.0620139406613735,76.94
125.0,50.78,0.99911,64.69667463059085,34.502852,-0.5702017623387499,-0.4159233866824084,0.002647558761178448,80.32
126.0,53.0,0.9957966666666668,64.80137898396079,34.502852,-0.4590056105804336,-0.3040112160495808,-0.00777683367657013,83.32
127.0,51.44,1.0,65.98341660575619,34.502852,-0.05027879648038741,0.49877135839951436,-0.27691794934043445,87.02
128.0,47.26,1.0,65.75260458198036,34.502852,-0.7125397993464597,-0.1255418663135066,-0.0695252352834404,86.42
129.0,48.0,0.9982816666666667,64.93482964065295,34.502852,-0.5479365803628382,-0.33702390393379933,-0.04721226207297878,87.32
