t,P_a
0.0,85.8230111438
1.0,85.9877805136
2.0,85.903604685
3.0,85.9289329056
4.0,86.1460052744
5.0,85.896217811
6.0,85.9434585736
7.0,86.2238125291
8.0,86.1158154681
9.0,86.2417039047
10.0,86.1751107595
11.0,86.2516391226
12.0,86.4213491342
13.0,86.7585384604
14.0,86.718858699
15.0,86.9406146046
16.0,86.8710002888
17.0,87.1529366367
18.0,87.2174198285
19.0,87.2197986786
20.0,87.4031645753
21.0,87.3629795184
22.0,87.3675352235
23.0,87.5437835476
24.0,87.6249577493
25.0,87.7929062181
26.0,87.5853752759
27.0,87.5893072742
28.0,87.6816786609
29.0,87.7322096281
30.0,87.6457302004
31.0,87.7936465116
32.0,87.5541550147
33.0,87.7809072973
34.0,87.707920023
35.0,87.5988830566
36.0,87.8263189947
37.0,87.7463535617
38.0,87.9979062852
39.0,87.7429931669
40.0,87.7990449883
41.0,88.028232396
42.0,88.0163573
43.0,88.0510681012
44.0,88.2657451067
45.0,88.2579027365
46.0,88.6070531016
47.0,88.5442163707
48.0,88.5918065496
49.0,88.3535094703
50.0,88.6588466205
51.0,88.7638557115
52.0,88.9019653245
53.0,89.1161339096
54.0,88.9551222045
55.0,89.1386090669
56.0,88.9494032401
57.0,89.0651412852
58.0,89.1395721781
59.0,89.2157140837
60.0,89.1802773375
61.0,89.0593616919
62.0,89.120051252
63.0,89.3204682489
64.0,89.2950899204
65.0,89.4792129877
66.0,89.5025249871
67.0,89.4813718025
68.0,89.2881151792
69.0,89.2606224484
70.0,89.3427947845
71.0,89.4218249077
72.0,89.3380838139
73.0,89.5375017661
74.0,89.5736684454
75.0,89.6749451677
76.0,89.6983117903
77.0,89.5957112787
78.0,89.7458485903
79.0,89.7921217899
80.0,89.9274207515
81.0,89.9708332765
82.0,89.9206491556
83.0,90.1583837702
84.0,90.2007956222
85.0,98.6425359404
86.0,98.4462046468
87.0,98.5504856638
88.0,98.6597977857
89.0,98.8240880223
90.0,99.0044892413
91.0,99.097988026
92.0,99.0035210328
93.0,99.0138959074
94.0,99.3885134371
95.0,99.5475814349
96.0,99.6437237845
97.0,99.6851135918
98.0,99.813558332
99.0,100.002853586
100.0,99.9696595705
101.0,100.056272937
102.0,99.9077025148
103.0,100.044905252
104.0,100.251518655
105.0,100.072434795
106.0,100.490264228
107.0,100.190016398
108.0,100.233794367
109.0,100.263808239
110.0,100.160116573
111.0,100.1956406
112.0,100.377757674
113.0,100.423777081
114.0,100.15795553
115.0,100.238376515
116.0,100.241545671
117.0,100.354665786
118.0,100.331241973
119.0,100.648264495
120.0,100.479493079
121.0,100.644750886
122.0,100.575445914
123.0,100.595521569
124.0,100.968424407
125.0,100.83148407
126.0,101.326335583
127.0,101.291462226
128.0,101.111465235
129.0,101.090975911
130.0,101.437961873
131.0,101.33432182
132.0,101.197235053
133.0,101.512879913
134.0,101.637843574
135.0,101.438440659
136.0,101.510339127
137.0,101.521558895
138.0,101.323533007
139.0,101.569231059
140.0,101.736857302
141.0,101.700193109
142.0,101.790026958
143.0,101.756588112
144.0,101.843130372
145.0,101.873953091
146.0,102.026023261
147.0,102.076046122
148.0,102.200435271
149.0,102.12356937
150.0,102.104257127
151.0,102.246854157
152.0,102.041470865
153.0,101.947782027
154.0,102.255994016
155.0,101.990791021
156.0,102.186772439
157.0,101.938284857
158.0,102.098528491
159.0,102.089511911
160.0,102.157253729
161.0,102.378855283
162.0,102.172611392
163.0,102.193342419
164.0,102.189996706
165.0,102.368275467
166.0,102.46397345
167.0,102.310215232
168.0,102.290050346
169.0,102.284837333
170.0,102.243585023
171.0,102.42145723
172.0,102.61811462
173.0,102.700352734
174.0,102.312894378
175.0,102.493134491
176.0,102.43558662
177.0,102.295350204
178.0,102.413693637
179.0,102.492800579
180.0,102.841507098
181.0,102.880216338
182.0,102.75328172
183.0,102.888676236
184.0,102.768309815
185.0,102.769108474
186.0,102.860958947
187.0,102.841914017
188.0,103.026057066
189.0,103.036454605
190.0,102.939466179
191.0,103.091724709
192.0,103.117604707
193.0,103.23578691
194.0,103.030618231
195.0,103.331101217
196.0,103.111592188
197.0,103.156421845
198.0,103.264727947
199.0,103.283495251
200.0,103.439819205
201.0,103.422780618
202.0,103.600789752
203.0,103.337863771
204.0,103.669224737
205.0,103.584723011
206.0,103.705265526
207.0,103.523913914
208.0,103.842219385
209.0,103.593736506
210.0,103.940716742
211.0,104.00628128
212.0,103.792909856
213.0,103.784292712
214.0,103.890645113
215.0,103.965032219
216.0,103.94811451
217.0,104.149181718
218.0,104.33835968
219.0,103.948249018
220.0,103.992191049
221.0,103.835993113
222.0,104.280195151
223.0,104.041760471
224.0,104.100104843
225.0,104.120913811
226.0,103.959286302
227.0,103.945607727
228.0,104.104200327
229.0,104.153367268
230.0,104.242785113
231.0,104.196783631
232.0,104.203089532
233.0,104.026876007
234.0,104.29434649
235.0,104.274411753
236.0,104.266800445
237.0,104.313341291
238.0,104.231233176
239.0,104.237602523
240.0,104.156192322
241.0,104.482380698
242.0,104.327282149
243.0,104.367435899
244.0,104.585175933
245.0,104.689605941
246.0,104.72532044
247.0,104.545327286
248.0,104.468884877
249.0,104.597975534
250.0,104.55621205
251.0,104.504492238
252.0,104.23079618
253.0,104.272788334
254.0,104.451956193
255.0,104.416105031
256.0,104.483247184
257.0,104.405974258
258.0,104.499512011
259.0,104.602964029
260.0,104.441948053
261.0,104.550567134
262.0,104.342221067
263.0,104.533304572
264.0,104.764176497
265.0,104.545643687
266.0,104.598312746
267.0,104.624310545
268.0,104.684379212
269.0,104.463509363
270.0,104.500359854
271.0,104.557774788
272.0,104.563701563
273.0,104.550964033
274.0,104.675197713
275.0,104.721622547
276.0,104.826029533
277.0,104.853324396
278.0,105.0
279.0,104.634318227
280.0,104.729511864
281.0,104.706286856
282.0,104.724183855
283.0,104.63451659
284.0,104.582454199
285.0,104.593385585
286.0,104.473969043
287.0,104.362252889
288.0,104.413215336
289.0,104.254971962
290.0,104.276713061
291.0,104.402815572
292.0,104.215720648
293.0,104.287609775
294.0,104.266737255
295.0,104.354485234
296.0,104.330480664
297.0,104.048319665
298.0,104.05518997
299.0,103.856079865
300.0,104.014801996
301.0,104.124056376
302.0,104.132013131
303.0,104.235502755
304.0,103.964945441
305.0,103.934262127
306.0,103.874868414
307.0,103.670904376
308.0,103.59107368
309.0,103.673578383
310.0,103.765310185
311.0,103.6847202
312.0,103.861038729
313.0,103.719576631
314.0,103.877654385
315.0,103.552920117
316.0,103.671402216
317.0,103.761262892
318.0,103.759299037
319.0,103.736901311
320.0,103.724279593
321.0,103.619868868
322.0,103.49720402
323.0,103.594965344
324.0,103.331092634
325.0,103.17317449
326.0,103.285850938
327.0,102.949114864
328.0,103.007066017
329.0,102.843238108
330.0,102.863549044
331.0,102.808970245
332.0,102.932448205
333.0,102.593668763
334.0,102.697907542
335.0,102.932014819
336.0,102.753857023
337.0,102.900748974
338.0,102.848336035
339.0,102.889958636
340.0,102.606783262
341.0,102.456959252
342.0,102.298635542
343.0,102.506733687
344.0,102.533124237
345.0,102.541863192
346.0,102.397298828
347.0,102.448842228
348.0,102.124881023
349.0,102.137263776
350.0,101.847196482
351.0,101.687987136
352.0,101.808632145
353.0,101.704067501
354.0,101.651494314
355.0,101.700659635
356.0,101.887703048
357.0,101.655211978
358.0,101.484622654
359.0,101.590651637
360.0,101.6581951
361.0,101.295913249
362.0,101.297733857
363.0,101.620949032
364.0,101.908850617
365.0,101.815054343
366.0,101.713170931
367.0,101.700591129
368.0,101.718288677
369.0,101.600159153
370.0,101.441092413
371.0,101.191325245
372.0,101.013883699
373.0,100.981791044
374.0,101.126604297
375.0,100.813608748
376.0,100.939833319
377.0,100.800694048
378.0,100.672097647
379.0,100.579485434
380.0,100.625329119
381.0,100.620693533
382.0,100.523731529
383.0,100.45626512
384.0,100.242181859
385.0,100.375784454
386.0,100.405677569
387.0,100.067745714
388.0,100.259136618
389.0,100.120774586
390.0,99.8469444784
391.0,99.7067811715
392.0,99.8028573432
393.0,99.6917287441
394.0,99.7889646745
395.0,99.6988732208
396.0,99.7249602158
397.0,99.5027303109
398.0,99.6752696473
399.0,99.5768183656
400.0,99.1359016046
401.0,99.1190319888
402.0,98.9930461238
403.0,98.711236636
404.0,98.7662149968
405.0,99.0838452234
406.0,99.0284326763
407.0,98.8102317037
408.0,98.8074459225
409.0,98.5437545922
410.0,98.6075356639
411.0,98.6846175079
412.0,98.2045133334
413.0,98.2288890252
414.0,98.1668358102
415.0,97.9864308764
416.0,98.1311390534
417.0,98.0017933446
418.0,97.8641697407
419.0,98.0488691792
420.0,97.9791485518
421.0,97.8293836917
422.0,97.5617432855
423.0,97.5446730068
424.0,97.2972803896
425.0,97.2811306305
426.0,97.2658108233
427.0,97.43407191
428.0,97.3579459528
429.0,97.2963323325
430.0,97.0279964752
431.0,97.0180285129
432.0,96.9249215147
433.0,96.819710274
434.0,96.8696500454
435.0,96.5812281922
436.0,96.7140079557
