t,P_a
0.0,88.3496135426
1.0,88.8676005655
2.0,88.7391356964
3.0,88.6197613421
4.0,88.7807730742
5.0,88.9166249321
6.0,88.91711343
7.0,89.2048311945
8.0,89.5435922814
9.0,89.5688374566
10.0,89.9400198215
11.0,89.9159985811
12.0,90.4298434349
13.0,90.2935277943
14.0,90.4271197264
15.0,90.2766383284
16.0,90.330594181
17.0,90.5909847176
18.0,90.4622234479
19.0,90.3361293575
20.0,90.3287454166
21.0,90.2303909981
22.0,90.6859116399
23.0,90.515756011
24.0,90.8698666179
25.0,90.950060266
26.0,91.1164494791
27.0,91.0545571161
28.0,90.9476556891
29.0,91.3269902415
30.0,91.4205263388
31.0,91.226864256
32.0,91.3452532324
33.0,90.8185382556
34.0,91.3961280373
35.0,91.356078931
36.0,91.7468657552
37.0,91.8935955635
38.0,91.8442276249
39.0,92.1169155514
40.0,92.1276627929
41.0,92.1438277449
42.0,92.3687793572
43.0,92.41629686
44.0,92.5614843277
45.0,92.1529208698
46.0,91.985068721
47.0,92.5619255975
48.0,92.5836077078
49.0,92.7813686733
50.0,93.0197845275
51.0,92.5671890225
52.0,92.8574029601
53.0,92.9855152229
54.0,93.442223576
55.0,93.6033087826
56.0,93.9272179737
57.0,93.8283473261
58.0,94.2174159155
59.0,93.8200954776
60.0,93.7679661062
61.0,94.0750048325
62.0,94.1146723385
63.0,94.0511952523
64.0,94.2099010382
65.0,94.2396265693
66.0,94.0501117133
67.0,93.8781870538
68.0,93.9811286595
69.0,94.3735805773
70.0,94.1704141208
71.0,94.1425266559
72.0,94.3154360341
73.0,94.5457245719
74.0,94.2295761239
75.0,94.3117924933
76.0,94.4738714028
77.0,94.3926192454
78.0,94.5694646109
79.0,94.6320225648
80.0,94.7964964867
81.0,95.1307305236
82.0,95.3769411214
83.0,95.6392944917
84.0,95.8207856228
85.0,95.6659525836
86.0,95.73955043
87.0,95.9313210697
88.0,95.7505219413
89.0,95.5847743562
90.0,95.7904490671
91.0,95.7411454456
92.0,95.9904113014
93.0,96.2205298363
94.0,96.2302369489
95.0,96.1414383938
96.0,96.1368105049
97.0,96.3546834492
98.0,96.2712090312
99.0,96.410921544
100.0,96.2692394072
101.0,96.380147975
102.0,96.4019049885
103.0,96.3712668255
104.0,96.7980954088
105.0,96.8386878987
106.0,96.3507506602
107.0,96.7363110151
108.0,96.778352973
109.0,96.863820807
110.0,97.3647235268
111.0,97.2445583518
112.0,97.5418399292
113.0,97.3637790798
114.0,97.7753012241
115.0,98.0860758392
116.0,98.1863972872
117.0,98.0386481923
118.0,98.3779537671
119.0,98.2509348891
120.0,98.498966118
121.0,98.3790679055
122.0,98.718122398
123.0,98.7807686874
124.0,99.4869157462
125.0,99.1895566064
126.0,99.4600106254
127.0,99.0688580499
128.0,99.620588528
129.0,99.7661249034
130.0,100.084864089
131.0,100.117733728
132.0,100.485413693
133.0,100.237067251
134.0,100.385896082
135.0,100.39092472
136.0,100.170479901
137.0,100.388900933
138.0,100.272026576
139.0,100.085899875
140.0,100.588901974
141.0,100.827671681
142.0,100.513862101
143.0,100.463620181
144.0,101.021783604
145.0,101.106753371
146.0,100.944787256
147.0,100.926186792
148.0,101.348875563
149.0,101.439311246
150.0,101.452665382
151.0,101.331186033
152.0,101.574524843
153.0,101.298992691
154.0,101.27878439
155.0,101.180608205
156.0,101.246384291
157.0,101.387779544
158.0,101.115150385
159.0,100.93943319
160.0,100.682399778
161.0,100.754092361
162.0,100.818922735
163.0,101.014409896
164.0,101.264914088
165.0,101.412100242
166.0,101.155699203
167.0,101.543143568
168.0,101.805735917
169.0,101.478363024
170.0,101.620819184
171.0,101.577013458
172.0,101.843086385
173.0,101.826125638
174.0,101.853511857
175.0,101.837384434
176.0,101.867989318
177.0,101.58080618
178.0,101.813405885
179.0,102.029058965
180.0,102.159740906
181.0,101.872581802
182.0,102.185854586
183.0,102.092439989
184.0,101.855165739
185.0,102.130991687
186.0,102.71617908
187.0,102.222553181
188.0,102.895400971
189.0,102.769757282
190.0,102.662508708
191.0,102.997913282
192.0,103.434164836
193.0,103.254460078
194.0,103.267298594
195.0,103.242187647
196.0,103.419026393
197.0,103.525553066
198.0,103.683318003
199.0,103.775134006
200.0,103.392000141
201.0,103.485286622
202.0,103.693761577
203.0,103.939611587
204.0,103.655699423
205.0,104.057510726
206.0,103.998906246
207.0,104.189315147
208.0,104.473602861
209.0,104.372075313
210.0,104.437248143
211.0,104.23665845
212.0,104.449574205
213.0,104.460681978
214.0,104.462259693
215.0,104.803661022
216.0,105.0
217.0,104.638948007
218.0,104.604115594
219.0,104.390733427
220.0,104.513059256
221.0,104.28467447
222.0,104.448881613
223.0,104.755715662
224.0,104.3147342
225.0,104.365590228
226.0,104.173624936
227.0,104.188001631
228.0,104.461212224
229.0,104.678538276
230.0,104.488167032
231.0,103.968373496
232.0,104.526905783
233.0,104.060062033
234.0,104.07564127
235.0,103.954947341
236.0,103.786104309
237.0,103.645344585
238.0,103.493904202
239.0,104.163810637
240.0,103.733379576
241.0,103.815967658
242.0,103.40779268
243.0,103.685916374
244.0,103.784612155
245.0,103.546009362
246.0,103.635915644
247.0,103.326370058
248.0,103.470611023
249.0,103.417314112
250.0,103.184577855
251.0,103.469903337
252.0,103.163913323
253.0,103.26124156
254.0,103.357927298
255.0,103.370686232
256.0,103.588924075
257.0,103.497658272
258.0,103.466073653
259.0,103.654437269
260.0,103.596203671
261.0,103.50152271
262.0,103.714639666
263.0,103.664696916
264.0,103.845806571
265.0,104.008926787
266.0,103.528867564
267.0,103.599422391
268.0,103.610690216
269.0,103.659626022
270.0,103.58652526
271.0,103.286585427
272.0,103.127830727
273.0,103.112089902
274.0,103.453514144
275.0,103.721250228
276.0,103.59561821
277.0,104.069758862
278.0,104.195365863
279.0,103.96280202
280.0,103.92319689
281.0,103.840334937
282.0,104.000289234
283.0,104.024391535
284.0,104.029628255
285.0,103.941159729
286.0,104.153523229
287.0,104.211110078
288.0,104.057450969
289.0,104.05530777
290.0,103.899458648
291.0,103.361883807
292.0,103.674160462
293.0,104.201753447
294.0,103.894909865
