t,P_a
0.0,75.7460339068
1.0,76.0175529089
2.0,75.9468993089
3.0,75.9867178271
4.0,75.9870328236
5.0,75.9233865122
6.0,75.9784486902
7.0,75.5417729203
8.0,75.7743201235
9.0,76.0361004996
10.0,76.0553545406
11.0,75.6958140722
12.0,75.6408606772
13.0,76.0901808653
14.0,76.1567426454
15.0,75.9165747728
16.0,76.1327770265
17.0,76.3238420437
18.0,75.6067210126
19.0,76.4983597418
20.0,75.7296724738
21.0,75.8866730123
22.0,76.260988618
23.0,76.1372197179
24.0,75.9851080837
25.0,75.8837920115
26.0,75.7930710399
27.0,75.5852583942
28.0,76.1026590964
29.0,76.3037949194
30.0,75.784937799
31.0,76.2107446607
32.0,75.9545106028
33.0,76.2405498204
34.0,75.8497889802
35.0,75.7255087529
36.0,76.0839169966
37.0,75.9977564222
38.0,75.5305268149
39.0,76.7759576238
40.0,76.0967863183
41.0,76.1557456833
42.0,76.046119999
43.0,76.1002986174
44.0,76.3578425626
45.0,75.7028114789
46.0,75.8128361305
47.0,75.985126024
48.0,76.0028079503
49.0,76.255251612
50.0,75.8282008197
51.0,75.7371688455
52.0,76.4616678294
53.0,76.2013467086
54.0,75.8096670911
55.0,75.4806220071
56.0,76.3787053529
57.0,75.6357300883
58.0,75.6874111819
59.0,76.6263017783
60.0,76.2816309562
61.0,75.6451752711
62.0,75.9834272835
63.0,76.1980436655
64.0,75.5473157686
65.0,76.2905503515
66.0,75.785808419
67.0,75.2047873644
68.0,76.1328048553
69.0,76.1676406265
70.0,76.018755451
71.0,75.5421245421
72.0,75.7413224845
73.0,76.0840852128
74.0,76.006070173
75.0,75.3578186368
76.0,75.6424911909
77.0,75.7769890356
78.0,75.7430491559
79.0,76.3026727706
80.0,75.82264242
81.0,76.0368176564
82.0,76.1617655326
83.0,76.3137240652
84.0,75.8344282573
85.0,104.220830851
86.0,104.653010753
87.0,104.35289736
88.0,104.461475471
89.0,104.700273294
90.0,104.264826577
91.0,104.682583682
92.0,104.011339384
93.0,103.846025624
94.0,104.182805325
95.0,104.44270467
96.0,104.210071196
97.0,104.1421478
98.0,104.055152548
99.0,104.25925284
100.0,104.315682506
101.0,104.604959973
102.0,104.427623021
103.0,103.993970049
104.0,104.674480431
105.0,104.493668692
106.0,104.647721081
107.0,103.937826171
108.0,104.612320747
109.0,104.025400943
110.0,104.629521689
111.0,104.303895408
112.0,103.911797197
113.0,104.687630004
114.0,103.67694897
115.0,104.331226732
116.0,104.475531414
117.0,103.986041251
118.0,104.369450751
119.0,103.636586093
120.0,104.202777192
121.0,103.935892717
122.0,104.106591767
123.0,104.433869015
124.0,103.830431954
125.0,104.23968104
126.0,104.141630189
127.0,103.391785309
128.0,104.690263987
129.0,104.974679118
130.0,104.61522161
131.0,104.192061863
132.0,104.732798598
133.0,104.473088174
134.0,104.190163704
135.0,103.812021805
136.0,104.009751903
137.0,104.26132821
138.0,104.430065803
139.0,103.94800422
140.0,103.978260956
141.0,103.964509565
142.0,103.897313226
143.0,103.907354934
144.0,104.358383
145.0,104.15951966
146.0,104.709265056
147.0,104.211386435
148.0,103.971118451
149.0,104.148250488
150.0,104.674959029
151.0,103.890757036
152.0,104.265833893
153.0,104.501028934
154.0,104.507316054
155.0,104.390497808
156.0,104.304881372
157.0,103.93788627
158.0,104.65407429
159.0,104.708153693
160.0,103.687794371
161.0,104.66410157
162.0,104.166310475
163.0,104.286561233
164.0,104.188763719
165.0,104.68584037
166.0,104.249299414
167.0,103.930637851
168.0,104.253652667
169.0,104.028058824
170.0,104.29815639
171.0,104.094285772
172.0,104.906476864
173.0,104.424980998
174.0,104.438680976
175.0,103.950027331
176.0,104.090655147
177.0,104.598915721
178.0,104.082982881
179.0,104.128640938
180.0,104.363629795
181.0,104.014301001
182.0,104.039884111
183.0,104.049139444
184.0,103.902855306
185.0,104.418785339
186.0,104.154235744
187.0,103.926519901
188.0,104.612845143
189.0,104.393715119
190.0,103.510022929
191.0,103.949042521
192.0,104.391358673
193.0,104.497633486
194.0,103.899749877
195.0,104.148080388
196.0,104.379173662
197.0,104.335763887
198.0,103.931153519
199.0,103.996755967
200.0,103.766331773
201.0,104.070958862
202.0,104.267573377
203.0,104.238472555
204.0,104.200578266
205.0,104.489072041
206.0,103.636858675
207.0,104.70360638
208.0,104.285301688
209.0,104.320044819
210.0,104.17440564
211.0,104.231788028
212.0,104.556452827
213.0,104.260842098
214.0,104.270040269
215.0,104.232072253
216.0,104.334617237
217.0,104.200084779
218.0,104.123360293
219.0,104.325804966
220.0,104.256282433
221.0,104.81328817
222.0,103.840890495
223.0,103.661182983
224.0,104.43958368
225.0,104.395429618
226.0,103.752299526
227.0,104.158664996
228.0,104.43069243
229.0,104.164593667
230.0,104.65314942
231.0,104.70774753
232.0,104.079943837
233.0,104.240944256
234.0,104.455872081
235.0,103.855684335
236.0,104.084804773
237.0,104.128043538
238.0,104.672771793
239.0,103.892588986
240.0,104.513094118
241.0,104.185098211
242.0,104.090206537
243.0,103.907532594
244.0,103.429024523
245.0,104.025692635
246.0,104.547031377
247.0,104.014849969
248.0,104.151492427
249.0,104.613741203
250.0,103.887248084
251.0,104.545333531
252.0,104.153161991
253.0,103.739963202
254.0,104.569240039
255.0,103.642645125
256.0,104.507799761
257.0,104.267630542
258.0,103.987331547
259.0,104.169008561
260.0,104.296412463
261.0,103.548900253
262.0,104.230520887
263.0,104.224727501
264.0,104.33167353
265.0,104.046078504
266.0,104.415079552
267.0,104.71803935
268.0,103.912811671
269.0,103.739041543
270.0,104.010287428
271.0,103.817152281
272.0,104.360957105
273.0,104.699575709
274.0,104.166988931
275.0,104.332899506
276.0,104.498119382
277.0,104.46510142
278.0,104.288622426
279.0,104.306301186
280.0,104.183651149
281.0,103.814182933
282.0,104.243181812
283.0,104.565985132
284.0,104.384946399
285.0,104.094064201
286.0,104.302397043
287.0,104.396466245
288.0,104.081879542
289.0,104.333082561
290.0,104.336740987
291.0,103.731501748
292.0,103.345694674
293.0,104.421776578
294.0,104.489010609
295.0,104.159992288
296.0,104.585689898
297.0,104.148482724
298.0,104.454111543
299.0,104.656223738
300.0,104.827737457
301.0,103.753820235
302.0,103.989072644
303.0,103.998535076
304.0,104.817404986
305.0,104.522552945
306.0,103.895969891
307.0,103.615339436
308.0,103.89391661
309.0,103.689826995
310.0,104.005210986
311.0,104.172723494
312.0,104.650448388
313.0,104.419791908
314.0,104.612874419
315.0,104.31609164
316.0,104.311787661
317.0,104.122522665
318.0,104.767045536
319.0,104.05741869
320.0,104.597658966
321.0,104.02652492
322.0,104.474115069
323.0,104.704520593
324.0,104.345386816
325.0,104.407681038
326.0,104.381759203
327.0,104.492908756
328.0,104.158951584
329.0,104.13183345
330.0,104.390166116
331.0,104.411713839
332.0,104.346642462
333.0,104.152015529
334.0,104.211475638
335.0,104.015154522
336.0,103.882194517
337.0,104.210713849
338.0,103.988089426
339.0,104.39518476
340.0,104.334291227
341.0,103.696501566
342.0,104.005125944
343.0,104.421392756
344.0,104.097544394
345.0,104.586787696
346.0,104.789084127
347.0,104.699330645
348.0,104.10021347
349.0,104.449098554
350.0,104.458459966
351.0,104.246357059
352.0,104.094096776
353.0,104.294300578
354.0,104.408922252
355.0,104.300347013
356.0,104.217245031
357.0,103.935215016
358.0,104.245152346
359.0,104.547209074
360.0,103.586873121
361.0,104.525896492
362.0,104.541461175
363.0,104.185553913
364.0,104.447410328
365.0,104.308017776
366.0,104.508672355
367.0,104.486665462
368.0,104.351003669
369.0,104.303236604
370.0,104.783187813
371.0,104.185972162
372.0,104.658889795
373.0,104.192529922
374.0,104.118152219
375.0,104.140192762
376.0,104.115698787
377.0,104.230715885
378.0,104.565248867
379.0,104.804271168
380.0,104.416682859
381.0,104.298740816
382.0,104.457529093
383.0,104.387087341
384.0,103.554083626
385.0,104.36783158
386.0,104.309390891
387.0,103.625244844
388.0,104.28001337
389.0,104.515987342
390.0,104.279977031
391.0,103.811843528
392.0,104.458827464
393.0,104.239583753
394.0,103.794055121
395.0,104.07355984
396.0,104.271297753
397.0,104.656146673
398.0,103.981954895
399.0,103.933225355
400.0,103.951912524
401.0,104.186501869
402.0,104.245159602
403.0,104.349396318
404.0,104.125649811
405.0,103.852475283
406.0,104.469548661
407.0,104.051091411
408.0,104.04656102
409.0,104.386228334
410.0,103.625923678
411.0,104.107275972
412.0,104.807244627
413.0,103.974475919
414.0,103.731057844
415.0,103.910206157
416.0,104.054758048
417.0,104.343787616
418.0,104.037234618
419.0,104.294062753
420.0,104.564317515
421.0,104.288061483
422.0,104.200177957
423.0,104.228417667
424.0,104.436190278
425.0,104.470384264
426.0,104.236364227
427.0,104.253792235
428.0,104.410241288
429.0,104.087474502
430.0,104.32573842
431.0,104.119718571
432.0,104.593293259
433.0,104.144723037
434.0,104.513263881
435.0,104.145707681
436.0,104.062461676
437.0,103.659036011
438.0,103.971182739
439.0,104.4398413
440.0,104.331715296
441.0,104.769550695
442.0,103.959347234
443.0,103.993960081
444.0,103.967920779
445.0,104.544982808
446.0,104.083736883
447.0,104.607806468
448.0,104.52389826
449.0,104.563377513
450.0,104.009980409
451.0,103.974217
452.0,103.502322266
453.0,104.360215572
454.0,104.581179233
455.0,104.024273174
456.0,103.962128803
457.0,104.251579291
458.0,104.258453724
459.0,103.779388824
460.0,104.093130101
461.0,104.126722689
462.0,103.845329603
463.0,104.30374935
464.0,104.253108259
465.0,104.12845895
466.0,104.117885288
467.0,104.014580291
468.0,104.247530178
469.0,104.478611529
470.0,103.750022759
471.0,103.878376565
472.0,104.279779292
473.0,104.013587625
474.0,103.990303997
475.0,104.296181936
476.0,104.749157623
477.0,104.671839375
478.0,104.267530662
479.0,104.562982954
480.0,104.127199967
481.0,103.998929935
482.0,104.400692722
483.0,104.194178485
484.0,103.782682449
485.0,103.907668668
486.0,103.837874074
487.0,104.599356797
488.0,104.442202249
489.0,104.320292323
490.0,104.101941239
491.0,103.920062605
492.0,104.079865715
493.0,103.781159371
