Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	-11.85396059683899	105.00249055943837	111.01607514896254	7.2323065084562455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	3.0607018495143294	3.0607018495143294	30.607018495143304	6.016179469184199	78.8815520552136	78.8815520552136	788.8155205521365	155.58800521747787	0.014884665662734038	0.014884665662734038	0.14884665662734017	0.028040530406246437	74.4233283136702	74.4233283136702	744.2332831367027	148.89202250217673
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-0.3162035009652865	7.116757897434168	14.164612669568486	2.4332934836759246	-16.35089727309254	30.762661663071718	52.82057992083272	8.672035649417767	0.0002940743254590819	0.0017527860714933964	0.0040251469215631655	0.0007122744836082771	1.4703716272956298	8.76393035746718	20.1257346078158	3.5498719596630393
C_buffi	1.0415159219153425e-05	1.1277528371063938e-05	6.97724787113268e-05	1.3361749389674418e-05	-0.0018662243419812086	0.0018804340652143737	0.018410580603290833	0.003642474274571952	-2.908245644306362e-10	5.22170298111746e-10	2.9862091219663233e-09	5.605667175843419e-10	-1.454122882904585e-06	2.6108514784084493e-06	1.4931045784265208e-05	2.836878353876019e-06
C_im	0.03419118550867907	0.03419377688828287	0.3405465896164029	0.0653655316003228	-0.01570271361041138	0.01601667542086217	0.15759910345540235	0.030077497228957747	-5.848006263140318e-09	4.3171396856200514e-08	1.9901187003494994e-07	3.7501458452536054e-08	-2.924003130011954e-05	0.000215856984382512	0.0009950593502281804	0.00018794567415544123
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	0.2999058768060018	0.522731110889667	1.8390183159027647	0.3365567489304911	3264.5703610661863	3450.835421534771	29290.636994968736	5553.409703791827	0.020745234863105467	0.02117656981215846	0.18135527529567252	0.036022062696284364	103.72617431552732	105.88284906079232	906.776376478363	170.95697707637953
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	1.1847244921509148	9.226943892858447	14.65106985826587	2.1199978595770643	-79.4525736721841	311.609425581715	1668.2027824252355	320.12902556892266	-0.0012852562481476253	0.009428572812833024	0.016194196304148024	0.002559802361454111	-6.426281240738415	47.14286406416496	80.97098152074007	12.609219525017055
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	31.01573951914142	77.54769172130707	98.09317401223998	13.302004394368591	-1982.9667061100479	2376.0526445533656	20539.971200835782	4014.9791465691233	-0.028049237409522174	0.0453488996584708	0.1928227376946234	0.03727559193905431	-140.24618704761096	226.74449829235385	964.1136884731171	181.08908316593457
