Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	-6.5843449570894	97.32728578420638	107.15382005291787	8.718685383687518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-4.923274965620835	8.713980674820617	22.267804895814564	3.8865566771197138	-50.548867396006735	65.25631932675448	340.98863034405736	66.47646701029532	-0.07768919025712004	0.11770267381982041	0.9848627582033296	0.18816497705298493	-388.4459512856002	588.5133690991023	4924.313791016648	978.3531964224958
C_buffi	9.90483887604425e-05	0.00012824282706555516	0.001026382398535515	0.00020183957519907513	-0.00164514406950933	0.0016510742289855696	0.016418010073547488	0.003083924804400498	1.1284872583764219e-08	1.3405961687114679e-08	1.2204476998440527e-07	2.3665680643648408e-08	5.6424362287224025e-05	6.702980777038903e-05	0.0006102238426320189	0.00011464743417250025
C_im	-4.3314302301015735	4.35638502439323	43.439884973188086	8.596009346019114	-115.4995458129661	115.49963294841811	1152.9428999649033	223.093612293338	-0.021080226545461146	0.021080228224007336	0.210801883490503	0.04188976597469492	-105.4011327273041	105.40114112003502	1054.0094174525152	203.7058568900112
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	-0.35879460484941733	0.35879460484941733	3.5879460484941683	0.6609125528757207	-60.807385052808385	60.807385052808385	608.0738505280834	118.57743042236272	-0.01774253370000125	0.01774253370000125	0.17742533700001278	0.033785556372365494	-88.71266850000626	88.71266850000626	887.1266850000628	169.4955186682345
ck2	1.8249760776545707	2.1077767228256503	18.221548833046995	3.658881911098317	42.938807363071916	45.374379218111024	418.8093261220597	79.34369683844916	0.16102692424852463	0.161387135400113	1.6106633249294746	0.3146430608691882	805.134621242623	806.9356770005649	8053.316624647374	1542.427854878436
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	5.987585261164464	16.994207568507814	54.9540895726787	10.288346569058865	166.054504982705	265.63094441245363	1152.4811525992056	234.51458842083622	-0.006780434645655397	0.0532620681284581	0.3013910277825354	0.05743205646697538	-33.902173228277	266.31034064229044	1506.9551389126775	296.8418283510964
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	38.90618569677429	73.5124238382223	96.65948717581541	14.317086472266203	758609.7624802	758675.0139740071	7562286.301915764	1449882.3846668052	0.13391452643945978	0.14341925586489293	0.9714195576576108	0.18268178314406103	669.5726321972984	717.0962793244641	4857.0977882880525	984.0399060845691
D_O2	9.124338933548438	22.85101193674672	61.88102142008883	11.43843560660122	-7508.826232331498	8430.43561829746	37785.7749722514	7275.080528819563	-0.14680036468902144	0.5077449326800059	2.7222285250122975	0.5133106768152809	-734.0018234451068	2538.7246634000294	13611.142625061471	2452.521173955457
Dp3_corr	2.853317278654791	8.355134921118161	12.206164497955088	1.7696592954059809	-1507.9796914405933	1573.1875222747005	15335.688871329834	3051.4680406281173	0.0010541704887342329	0.0037558978471419146	0.008745381861060641	0.0015359042121443926	5.270852443671247	18.77948923570965	43.726909305303586	7.801600241520778
Dp_30	0.8509780361225672	0.8509780361225672	8.509780361225681	1.7182348107876901	63.54175033625129	63.54175033625129	635.4175033625145	122.8447949091154	0.017657740642149044	0.017657740642149044	0.17657740642149025	0.033041102190143806	88.28870321074523	88.28870321074523	882.8870321074506	176.79329502358235
Dp_CV0	-5.72275875216614	7.7796871493751905	47.94556224192537	9.56576097916211	-128.98368110429894	167.29631440215582	1223.689891518623	237.83842457407184	-0.01892188892894793	0.022517298251724126	0.18704581295427686	0.03892086823360642	-94.60944464473978	112.58649125862054	935.2290647713847	193.91343107761313
Dp_n	8.649218427174281	50.550430126234595	86.79646851043118	13.43880128843986	9671.458740070626	10847.333752544879	99334.19053523491	19091.09441533924	-0.07275155465767692	0.38898907621871787	2.568750217909705	0.49625356085645395	-363.7577732883848	1944.945381093589	12843.751089548528	2438.5669049198887
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH	0.9276118511102944	0.9276118511102944	9.276118511102919	1.8198966341724825	59.3446444057583	59.3446444057583	593.4464440575822	113.50994938432828	0.017410274806754503	0.017410274806754503	0.17410274806754522	0.033745253762830114	87.05137403377252	87.05137403377252	870.5137403377265	169.73666324378542
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	9.49425592187576	19.470943507262767	53.14111033219865	9.463770848307913	9294.374636852286	11029.847382933398	81062.52830775167	15457.914497025527	0.036132478472103984	0.06064289432606642	0.33476949569828707	0.06533626635538684	180.66239236051982	303.21447163033224	1673.8474784914354	325.76000029555576
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	-2.3874126747850846	25.900421087408343	60.073100571327316	10.958786202898075	89.49378003337712	145.19106111365062	417.93836511378464	72.83845230052994	0.09609574029931141	0.10351945830979453	0.9414702129171474	0.18171698104849648	480.4787014965568	517.5972915489727	4707.351064585736	964.595751809541
E_N0	10.966555951069067	24.41685549142853	47.50117957532833	8.388898272032744	-20.317822576022525	186.32635660277398	464.46804977366037	86.6353952001332	0.0989792464094717	0.10619359729447092	0.9692630148193585	0.18837527880574434	494.8962320473587	530.9679864723549	4846.315074096793	904.4666123949214
