Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	72.16667298082443	152.48897292256655	166.08425272669595	18.581020097828674	-1.7905253173466916e-08	1.7905253173466916e-08	1.7905253173466934e-07	3.5886268915418034e-08	1.6323186713407267e-09	1.6323186713407267e-09	1.6323186713407256e-08	3.24747106324395e-09	8.161593443105631e-06	8.161593443105631e-06	8.161593443105641e-05	1.555788165994662e-05
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	4.1732615378236195	9.085459769522194	33.103773216290456	6.267233035465802	181.34474470663204	218.7254852503471	1233.5313630821008	225.5451214226547	0.08650783387950195	0.0867286637086005	0.5805042220922543	0.11416469834470837	432.5391693974954	433.64331854298723	2902.5211104612654	554.6498173484321
C_buffi	14.59198398718224	14.636915273450928	120.64512674609739	23.493898119294837	-19.55133332249612	167.947024182749	1088.0625842861575	210.16538897399664	0.036618034276059926	0.04037978385571657	0.28263666539510734	0.05440308200468058	183.09017138029603	201.8989192785773	1413.1833269755357	266.81420028848515
C_im	-3.4913501116527175	3.5892220030410225	27.082062923001736	5.44278280341398	-114.18620024168564	114.368566255145	723.8153481871332	150.30481200114482	-0.9848906200669638	0.9942892903483722	8.850364114489366	1.766186798734367	-4924.453100334653	4971.446451741705	44251.820572445264	8743.22490998175
C_NADH	1.6616977732883527	1.6616977732883527	16.616977732883527	3.3972473035643893	62.194664200729456	62.194664200729456	621.9466420072945	120.8920642418767	0.011735912161771443	0.011735912161771443	0.11735912161771442	0.02388776510908101	58.679560808857204	58.679560808857204	586.7956080885721	113.27861375085605
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	7.51998857102371	7.911243185703052	60.2942965746502	11.31356907556593	1467284259.35163	1467407002.1834922	14673433048.79477	2829971761.8657928	0.033469274658189836	0.03431299358904136	0.2754293821297778	0.05699261893137161	167.34637328976459	171.5649679440724	1377.1469106490342	280.63399016218733
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	13.363206434162073	19.13913878484202	63.49719642574228	11.75084153481519	1467343038.6195974	1467343098.930881	14673427098.625065	2894424787.6391706	0.03385667942336906	0.043284721039561776	0.28849632333953645	0.05519705572972495	169.28339711687596	216.42360519780988	1442.481616697679	278.2731599362901
cytox_tot	0.6537450106914063	0.6537450106914063	6.537450106914052	1.2800976268125044	97.4909441497344	97.4909441497344	974.9094414973449	189.80022123317826	0.01686197169570402	0.01686197169570402	0.1686197169570402	0.033815909158371335	84.30985847852007	84.30985847852007	843.0985847852018	154.4291079147733
cytox_tot_tis	32.18265280258797	90.76735062181262	180.5370877574782	30.551447231027275	-1286207.808423668	1287131.2095480314	12705517.562857248	2397170.5283012874	-0.969966918075745	4.159114347860521	24.418629252585845	4.701140418452442	-4849.834590378757	20795.571739302573	122093.14626292912	23614.405779976358
D_O2	6.675312552260147	46.47576493443376	131.24323932784702	25.822958402809952	-19040.260508303465	20829.76017086773	112439.6001414218	22174.77810265384	200.6078275478798	200.7383158794368	2005.1063839707917	392.7531201132905	1003039.1377393998	1003691.579397185	10025531.919853961	1971105.6527201002
Dp3_corr	1.834997388954146	5.084294447356173	28.002586346217804	5.393095673407788	8.04389523736931	16.028633674465283	52.02852217456265	9.718603507661545	0.012343312557629962	0.013259007615065805	0.12046407809151967	0.023435719022217975	61.71656278817034	66.29503807533494	602.3203904575954	115.63073622021739
Dp_30	-6.287609840437296	6.287609840437296	62.87609840437297	11.685488856775363	-66.43807162614742	66.43807162614742	664.3807162614744	129.03619749864188	-0.023919750039299862	0.023919750039299862	0.2391975003929987	0.04801580158810669	-119.59875019649951	119.59875019649951	1195.9875019649962	230.3512660169018
Dp_CV0	-13.527529104486185	29.621375617630502	101.59228507088271	18.765491719224258	70.98850853963322	263.7866807922667	1407.86414726687	270.3640128736637	-0.02847665118015095	0.076953839894315	0.37143575476542456	0.07474741854067708	-142.38325590077676	384.76919947155295	1857.1787738271198	352.01857853980226
