Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	45.31820523639909	154.1414296424111	170.73808411406438	16.193448525337676	1.984245668040785e-06	2.6292413684814166e-06	2.0027068707506593e-05	3.952621781182684e-06	-4.589076588526475e-10	6.140407154617277e-10	3.711467460201372e-09	7.074755688433386e-10	-2.2945383236105956e-06	3.0702036409024915e-06	1.855733721658577e-05	3.58385704462124e-06
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-3.6232280328727167	6.707424366704329	22.252855377080376	4.2106969014849325	569.6474578623333	598.3249898200148	5776.46482557877	1061.9340836971012	-0.00010721876234797201	0.0020916181397178037	0.008238358302462574	0.0015823541840047023	-0.536093809642955	10.458090700699723	41.191791512592175	7.690082134035638
C_buffi	-0.001159285757172862	0.005078709954535877	0.023647603678506168	0.004693724358125183	428.64128344296694	428.6439005978817	3237.030209185591	613.8200985719224	-9.06012521348365e-08	1.5195970608200548e-07	1.2200216386977748e-06	2.4244445139892964e-07	-0.0004530062561181225	0.0007597985309362443	0.00610010817175023	0.0012571253021268745
C_im	-1.5464447899181228	2.9072858030484188	21.629877855926406	4.063220760019344	3326.518872827164	3676.562375921548	35068.09453538563	6830.018219228377	-0.006654427322934999	0.04348680193768741	0.309541717802111	0.059581808962614786	-33.272136614684335	217.43400968842892	1547.7085890105554	318.3502287942569
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	-15.063866127259198	22.99237115159506	111.48218536953569	21.636399823141875	3154.470913667978	3916.9254370464187	34071.95314921563	6595.131513814407	1918.1363139015814	1919.5999321601576	19187.616948902	3812.6340130647172	9590681.569507888	9597999.660800764	95938084.74450971	18868058.564440582
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	6.726023259812647	11.500672598634724	32.578093894991625	6.260566531365452	43.85568239331461	117.47961237517946	317.933481665015	58.5547289389404	0.0038818990263311693	0.013593101259443267	0.05056231723991749	0.009643982767853046	19.409495131655486	67.96550629721366	252.8115861995919	47.505904632692875
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	-5.639249492778288	83.96163992306074	156.2273359017323	26.555538522292416	-3598.458269757655	8898.648255232189	46888.84517834847	8992.628761002414	-0.5507993301594201	0.5683085952216217	3.686859439783129	0.6895873520122604	-2753.996650796791	2841.542976108342	18434.297198915698	3433.5956004150785
D_O2	-9.747282466346286	26.022931556003094	89.28951938328245	16.868718699302296	-2301.3074446194946	24344.957836953858	134744.91335526935	25750.67314285581	-597.8189073558236	598.4251499307184	5980.926868482257	1175.1517283907167	-2989094.5367791187	2992125.7496535922	29904634.342411317	5747945.649908496
Dp3_corr	-2.175243811306265	7.0428127017307744	16.441470846734852	2.8456000194902127	-13621.955183272667	13651.827332417308	133369.26675428054	25995.441989192117	-0.0355120255875718	0.036695346069111824	0.3479442563112327	0.06695941089473924	-177.5601279378238	183.47673034559722	1739.7212815561645	334.8054801334989
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-23.28153568264703	26.936750338113416	84.16810609845302	16.538962571396116	-25.300410665300817	1122.7895111930384	5746.15114274188	1087.7691554607568	-0.14611819791696315	0.16355870446349638	1.0412889224207698	0.20585191409000692	-730.590989584817	817.7935223174836	5206.444612103851	1021.7265376135085
Dp_n	27.9661209976171	72.18413585934721	177.4255132419574	33.1110225973916	-1400290.6529467788	1400972.8901259946	14000574.564322568	2717635.984245263	-0.021838309363041195	0.08992029906355709	0.3758053050594215	0.07216539230640547	-109.19154681522542	449.6014953177951	1879.026525297105	366.10504404608685
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	19.06059012848181	32.5166792642049	125.53114526201841	24.487693427126768	5243.1083619077135	5400.695426145796	47171.14376906	8912.926493781668	32.02471093620671	32.54871611836492	296.770365047624	60.46748773239012	160123.55468103345	162743.58059182458	1483851.8252381168	291877.53372159466
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	7.235394669041775	23.764668389531966	75.13902430774148	13.997525559569915	10612.585051445301	10833.01580095303	103213.09386829557	20322.414600680986	0.1946536290441454	0.22315982495769743	1.7812889863272978	0.35334291873754897	973.2681452207249	1115.7991247884859	8906.444931636497	1757.5029740846705
E_N0	-6.776610192445094	56.24255850343324	155.6644711559863	28.676401389893307	48485.6789614289	49357.21884152613	392370.1039400017	75251.70472620946	-0.33144314169874384	0.4771943670041445	3.708333954229098	0.7197468949418789	-1657.2157084936825	2385.971835020761	18541.669771145494	3645.3641220110458
f_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
h_0	-30.30729004185095	34.696811424438685	126.88695521328366	25.108259981166213	-47170.68551777481	85421.92044309042	479497.80815535184	90956.93903476662	-122.21642090635025	128.0464869931744	1192.526544096243	229.67105620382617	-611082.1045317515	640232.4349658722	5962632.720481217	1147022.345150931
H_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
h_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J_O2n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k1_n	8.848692860295744	31.566335583318015	86.77462431978994	16.14464026227345	106.65377640837121	240.4328220141412	1333.7349008029503	255.60619775391865	0.02513129689200925	0.03315940990167287	0.22856796082122974	0.04357530242552493	125.65648445965682	165.79704950798765	1142.839804106193	217.93971404886574
k2_n	-4.971911020104314	6.36397163772126	50.540557419923736	10.420163254780325	-32.40555452837444	48.21531124041675	223.6676171634064	41.33199818977098	-0.014739854424361274	0.019242602300625272	0.16622201298805991	0.032326373357788665	-73.69927212181167	96.21301150313354	831.1100649402983	162.3256848284012
k3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k30	12.974031969464	14.571852000843997	112.12305129315673	21.393694552710713	6293.177198071425	6329.84135228955	46192.45254341617	8757.633644796402	1.8769154007138797	1.8785012315174747	18.58160100452017	3.4750216343255453	9384.577003569366	9392.506157587391	92908.00502260066	17793.13865453631
K_G	-21.766422731833117	40.76255745472669	150.21628900335264	27.874651103547524	-3859158520445782.5	3859158520477675.0	3.859158520457338e+16	7402915895871268.0	10.244359606768693	10.806348041929668	82.34787271856503	15.854058430324947	51221.798033843545	54031.740209648415	411739.36359282595	79801.4556609229
k_lk2	13.658397911961814	22.637050853564155	83.4480593960219	15.667405469455526	327.73139566276643	521.1790120457341	2617.9124173285168	510.93507178046167	0.31248121711471044	0.33040087245774413	2.9987337583324774	0.5740998349543298	1562.4060855735536	1652.0043622887208	14993.668791662381	2951.1233675085196
K_sigma	35.4231018108123	65.2886821757012	225.7598233217283	40.983092035458625	-8793344275.011276	8793587511.885025	87934629161.07768	16956515871.697779	-50.19390636384729	117.7039295291635	674.2607675666178	126.92325785083453	-250969.53181923638	588519.6476458176	3371303.8378330953	627489.9398001897
k_aut	-28.16360582305817	47.319196173981126	142.37285739417996	27.21528859940788	-3859128840234241.5	3859128840290789.0	3.8591288402618136e+16	7520591190056769.0	276.3153564587937	278.4294457728094	2451.30976528365	462.4703728401981	1381576.7822939658	1392147.2288640446	12256548.826418234	2358253.9742994877
k_unc	5.868826974903454	12.40085737789879	74.94421376927329	13.826401751421447	-137.9909838275967	414.50192148839005	2075.5648163093097	402.2537658778784	0.01346974464680781	0.06621580490213025	0.3640134746018243	0.07233662736265722	67.34872323404232	331.0790245106522	1820.0673730091214	335.6074071438525
kCV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Keq1_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Keq2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_CV0	-0.5714274444899291	1.3727033408238538	6.536496034120877	1.3277833755343467	-430.35364422873084	432.8010431461883	4261.357166565469	815.8500954035112	0.0009551440206437638	0.0012315360807992363	0.008466872381411158	0.0017332170324330294	4.775720103218315	6.157680403995418	42.334361907056376	8.15493229969815
L_CVfrac	3.8394095433900133	3.8394095433900133	38.39409543390003	7.632061033508135	66.5488983545057	66.5488983545057	665.4889835450564	132.1192937634048	0.023188958034221142	0.023188958034221142	0.23188958034221158	0.04680101238491194	115.94479017110565	115.94479017110565	1159.4479017110582	216.45944186109367
L_CVmax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_CVn	-10.473508835982258	21.509720127699953	114.91211790650176	22.070245305733053	-527.9400023674382	624.3283605251214	5001.567377228021	929.343434218554	-0.07088160098586022	0.08278327987908655	0.7251056596153006	0.14542247860817265	-354.40800492929026	413.9163993954216	3625.528298076507	719.2299363231539
L_lk0	0.5333905367362548	6.916794806578817	28.13913476839476	5.323092063769605	132.68679942711984	159.43038523674014	969.2313243554313	191.5455255961395	418.43105390895323	418.4344409717661	4184.054048498966	808.7921954534448	2092155.269544766	2092172.2048588311	20920270.242494833	4111323.907564091
L_lkfrac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_lkn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mu_max	7.282367042227398	27.809763239998784	102.27384181645074	19.12769449844368	-7154.962895580012	8192.409189704616	50827.10697599745	10198.178958336857	-9.980244510715613	11.327647002084616	105.76143518121674	19.840713446070083	-49901.22255357816	56638.23501042313	528807.1759060841	100543.07585321758
n_h	-1.0180646631771466	7.453102787007117	19.313853335357962	3.5943193700466574	6877.382903124386	7489.04753568205	36987.2129791673	7102.144403288551	-0.016902753382442567	0.08123358331352462	0.2960451386332699	0.054830545593740516	-84.51376688335675	406.1679165958225	1480.2256931737547	278.8658555807245
n_m	35.65390246673354	54.408480009881316	165.0903093144211	30.53039324281206	-3979.0423340746906	5496.236444511546	35772.7996736443	6863.275815762756	-6504562521.924124	6504562558.117743	65045625401.10758	12528008974.593338	-32522812609620.57	32522812790588.67	325228127005537.75	61931138096211.5
NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADHn	-4.061932112525204	28.721864845590545	63.32348104795875	10.568463544175478	-22.22045636413152	55.87927795978697	162.57183585435575	29.875802960841813	-9.838132150100848e-05	0.004897208363723501	0.015374262674525926	0.0027458399397588653	-0.4919066075022826	24.48604181861958	76.87131337263244	14.176364831880573
NADNADHrat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADNADHratn	-7.369674280978326	28.20847387989419	57.52147152649828	9.280729046791642	1979.0479340855672	2385.434420247431	21488.13766669399	4353.573667432119	118.92475501295431	118.97602292625032	1189.480791946776	235.29931927474007	594623.7750647715	594880.1146312519	5947403.95973389	1155693.9376947728
NADpool	1.3029812374592222	43.10458164475332	123.1776584623016	21.92118946373275	328.00607936560914	509.57331365573157	2481.96270523784	481.75907463867713	-0.023296810846217104	0.07355078522370814	0.5060148657898402	0.09729388341656468	-116.48405423108883	367.75392611854585	2530.074328949197	501.1248344480754
O2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O2c_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_an	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_C3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_ic	3.479520188291031	32.29514036852828	150.09388585594724	28.740035233544777	7157.54898959252	47942.23786663064	295067.93638235744	56072.81790865501	41.08362154307613	42.02975002480172	256.0908773661263	50.338525309992214	205418.1077153806	210148.75012400874	1280454.3868306326	248466.86012044965
P_icn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_tot	1.8040059427636441	119.7920200188159	259.50619683567595	45.12670708652834	-120848.34864785803	122063.94061574023	1096061.5683640721	221444.13486080593	20.182005918641075	20.51112837609292	203.21317572010676	40.82824599613072	100910.02959320533	102555.64188046468	1016065.8786005338	201865.47841305562
p_totNADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P_v	-1.1231450778704521	12.389481883205951	77.6945622591809	14.84559778623772	9998336042.431036	10001159407.816183	99997479214.94681	19803715262.692142	28.350658871572083	37.49766089791901	320.365492179235	64.3031160670083	141753.29435786032	187488.30448959486	1601827.4608961744	312365.8364896978
P_vn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pa_CO2n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pH_mn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pH_o	-10.352084895776192	56.747334276974556	178.9391468649751	33.9933266022479	-4070.443808730228	26553.51478089527	145675.07140163754	27172.13833100646	340.7968031646197	341.3945139559281	2606.119805412363	492.2527065176771	1703984.0158230995	1706972.569779643	13030599.027061831	2483226.8231847384
pH_on	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
phi	29.468117799851097	69.53680174361585	220.3461845472173	40.78495180240955	-20514.85799916287	23978.757876552536	130260.76451956997	25028.904967558537	-2.533805271328962	2.9468440859477427	25.919200869051384	5.208798276784776	-12669.026356645014	14734.220429738509	129596.00434525707	24501.751015581234
r_0	-49.62940764123134	115.31699626056556	238.5489256172966	42.76850877732284	31856.52094451583	42061.335386677405	203529.79090973863	39966.774793652534	45.47924115522343	46.2619372857359	316.59960235148816	63.63703974449375	227396.20577611699	231309.68642867944	1582998.0117574409	314565.82145082793
R_autc	-9.922353186012684	15.75287885080507	116.36459375404125	22.857837249675164	-2802420566.3827333	2802427094.6028204	28024224127.46333	5489886111.557706	4.30421066350876	6.813574344799539	48.78395782687783	9.450313906931862	21521.05331754365	34067.87172399752	243919.78913438768	47566.71505722322
R_auto	-3.932375347400728	22.660955000194505	126.35238374884165	24.606770848539057	-25557.173811961085	30062.01936713591	272696.50596672104	51511.813984989065	-65.32645634277277	65.43854230491446	630.8897988032676	126.62213243167662	-326632.2817138648	327192.7115245735	3154448.994016349	607872.4137608629
R_autp	8.876989174296389	39.971567208390695	167.51891334864536	32.084721953628225	3639.862674572563	6144.610651879011	34583.89965104024	7035.545872432934	1921.1531145367026	1935.0664416992993	19187.38526271162	3838.581000400453	9605765.572683519	9675332.208496504	95936926.313558	18670348.057803363
R_autu	3.336703902681858	37.499574408908394	162.43825049686353	31.1357228068305	74.58286548923401	867.7729202733393	3950.655506306649	770.8469311734792	-4228478244.066057	4228478244.3006225	42284782439.34731	8097900098.137805	-21142391220330.24	21142391221503.08	211423912196736.06	39763021171599.586
r_CV	-7.185085621563858	7.895556800000925	66.8289265184149	13.026787892531813	-96.97697387532143	134.51407243135125	1130.4284850034496	212.74927662315912	0.0021441937410695373	0.0029476548939070457	0.0211529575035396	0.004232414636684093	10.720968705321546	14.738274469476544	105.76478751770189	21.493682833264685
r_m	-38.64292312598868	92.3268093297634	253.9264415220814	47.71201436925967	-14179.408319144488	51255.95546570423	233944.95294110317	44045.426260178	-1726265064.3289895	1726265081.4767823	17262650361.37155	3301306998.222914	-8631325321644.949	8631325407383.919	86313251806857.78	17033791159216.146
r_n	1.5194526881145975e-09	2.0055385085981926e-09	1.751135777538553e-08	3.4876976198642117e-09	2285.9501154511076	2461.615737723053	12483.355729974255	2552.271518689926	2.0870868477906867e-10	2.5395369890324203e-10	2.3219497544656335e-09	4.6098284452586845e-10	1.0435433514999204e-06	1.2697683925466664e-06	1.1609747900419044e-05	2.2484907414862294e-06
r_t	-43.577851329294354	132.85941349875557	292.425950039819	49.72104921176267	1756.867764611951	71119.31917371087	328002.8439073945	61353.83176021766	574.6517734934769	632.1867726488372	5987.413870416709	1179.2826112411203	2873258.867467387	3160933.863244186	29937069.352083534	5696428.782725069
SaO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ScO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sigma_coll	7.017658967781958	22.177450824529366	87.75139381991224	17.322633840452404	15081.612287129195	49305.92686804091	231691.54995228702	44809.711315584405	-549819688.354831	549819690.9085257	5498196778.647803	1073842495.7341487	-2749098441774.142	2749098454542.615	27490983893238.902	5187286703272.042
sigma_e0	14.599685656129363	15.282881017428213	68.86910027380507	13.887460838667987	1808.7587674395495	4358.886181765126	19274.93858883736	3606.218884493555	-0.636185886259749	0.7703327974262832	3.967384399126487	0.7795651593748792	-3180.9294312987495	3851.6639871314173	19836.921995632452	3823.4305462749708
sigma_en	-0.7130014184169835	0.7130014184169835	7.130014184169828	1.4182681935104833	-63.16761566887906	63.16761566887906	631.6761566887917	122.84303732143468	-0.021675277454799757	0.021675277454799757	0.21675277454799782	0.040448108683202186	-108.37638727399863	108.37638727399863	1083.7638727399838	211.04423241829838
SvO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
t_c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_en	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_max0	20.97504192743044	52.87995826697255	190.31505781677754	36.304169223937954	-18437.434522777792	23196.783710417338	154439.6278331764	30928.7904780509	-0.3553368983419887	4.692848583206284	23.012542130942673	4.42591337555795	-1776.684491709665	23464.242916031588	115062.71065471527	22208.85067496264
T_maxn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_mn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
t_o	7.042873519818874	10.45814370287199	89.29122081841335	17.5783413159994	1.1207922154584438	259.5544056687817	1838.8447280545124	352.90603376923355	0.024709537029634653	0.024874987952006093	0.22983694481804326	0.04489512733681785	123.54768514808546	124.37493976011885	1149.1847240902246	228.88477137948743
t_p	11.36405802691494	11.368808847280555	113.65765178315893	22.94825314299102	29.412055955877307	29.836348066145753	295.7681165409465	57.26077968196909	0.05674268061871342	0.05692955310568124	0.5680881853664196	0.10838455773180324	283.7134030935672	284.6477655284062	2840.4409268321006	544.8366232349551
t_u	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
u_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
v_cn	-3.0363941921224624	30.248707671005246	92.78992648623753	17.600545915685604	-43025.012595123546	55905.06795999288	404050.1096297827	77302.3747234001	-4030.6231135071143	4036.2440659410377	40108.08445431543	7696.999685656819	-20153115.56753558	20181220.329705182	200540422.2715772	39402049.415936425
v_on	-1.1392752630161331	38.31272038379498	130.89727242549884	24.056474837547984	3719.495389996082	4203.842016594377	24785.935981471233	4889.235759572312	-3990.588503652581	4032.0799163318657	40115.32812840561	8153.800622420282	-19952942.518262904	20160399.58165932	200576640.64202788	39144246.29096672
v_pn	-37.02652409744738	98.89466369484579	225.48979285883388	41.55913747881433	42268.59453975965	104148.08899615359	524747.7736561021	101298.53425402795	6.4926601200856995	8.019689534350327	46.35132621222197	8.965461795181364	32463.300600428527	40098.44767175166	231756.63106111015	47256.249266608436
v_un	19.59536080410872	25.260868759848535	113.37620699093087	21.308818644225298	-6929.130001301153	8446.534140150734	67755.46412720745	13456.038300422224	-56.611645818476006	63.439735069047636	444.92965474453854	88.43907363923368	-283058.2290923802	317198.67534523876	2224648.273722697	446372.8906504473
Vol_mit	38.874431434797	149.75692448530052	207.31003088549684	27.78602321936112	-7165.178991106646	9045.784185172839	51898.71981280725	10310.262260621175	-6.1604119739031455	8.29244589272161	56.98701968270617	11.068115656493049	-30802.05986951535	41462.2294636077	284935.0984135309	54968.39064707827
XOa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XOa_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XOv_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xtot	9.194380630979172	96.81281896291962	231.0647621013123	41.511803270047416	-13689419483.691807	13689446777.922474	136894227465.81705	26927770329.824566	19.740710179641745	20.285000609745254	196.90124703388537	39.855023517870706	98703.55089820914	101425.00304872541	984506.2351694251	193156.56575277474
Xtot_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TOI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
