Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
k_aut	-0.05167150970579454	0.06768853119967301	0.4425496364590278	0.08885848824490619	-6223.075560329061	6225.207995553996	62240.327766211616	12066.950184781785	0.00022390379750824384	0.0003205719004938285	0.0006506150804266959	0.00012121651489992839	1.1195189875436165	1.602859502466843	3.253075402133646	0.6070639464614966
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	23.534466861170454	104.65709905828538	109.75916152652819	7.32848817882201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	1.2697854298328652	6.144334177377914	12.639354166043825	2.247902491069604	-55.91557537347684	114.5999375380824	852.6620349551997	165.74819268563618	-0.001622378836083206	0.0016929237525247164	0.0035756480310225706	0.0006860818660883485	-8.111894180415337	8.464618762623651	17.878240155113062	3.477533586390218
C_buffi	0.0247281835985308	0.024833252465803833	0.23918101331260352	0.046974966983879644	-0.05714637592229579	0.06580144707468477	0.6145209039269134	0.11888637034971898	-2.8926835376815373e-06	7.5016149394712065e-06	5.7042654671760454e-05	1.134868940339863e-05	-0.01446341766203247	0.037508074723603645	0.2852132734686562	0.05608318750915281
C_im	-0.06197300593014894	0.06198867350743116	0.6192051089975752	0.11939208451252334	0.0005054739541998287	0.0007116546881007935	0.005927388891519646	0.0011517976355536331	-2.475108171499582e-08	2.7159402399331427e-08	2.185856556115744e-07	4.338921126013987e-08	-0.00012375540862635148	0.00013579701208001893	0.0010929282779082027	0.0002073826305846945
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	-0.6670096010328921	1.8850870169092797	11.275254289631878	2.188562024073896	17.363964356482292	302.6561275664577	2000.5593571533639	381.0031086974682	-0.3802883208739574	0.5138886631352377	4.504747242590987	0.8941021008372528	-1901.4416043697902	2569.4433156761916	22523.736212954936	4554.6928910043625
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	1.583703459881901	9.606099980331178	15.947714170545064	2.4995343581915788	-159.75709417750613	159.75765912174936	169.53600322578424	32.26850428913801	0.010453148522519756	0.011495133568179532	0.016055521151301603	0.0030005211601271953	52.265742612598736	57.47566784089813	80.27760575650782	14.826944519749874
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	25.468882077656744	82.5100367857006	113.35777758279399	16.129281713898155	12852.398996257156	15363.712771121927	86092.63002118097	17332.77522669045	0.12067506314491654	0.3005511207695987	1.5220811231494416	0.2864628344886077	603.3753157245824	1502.7556038479934	7610.405615747207	1411.8215480891397
D_O2	-12.185214293029581	20.963989164417136	34.83387508730943	6.276847864794011	-1444.369586709913	1843.265611932743	10034.712948362649	1928.3421362701986	0.08293433401323	0.08293433403718183	0.44045641028354754	0.08784594002171275	414.6716700661499	414.67167018590953	2202.282051417738	422.80535593267683
Dp3_corr	-1.04476316640944	7.186810287999083	11.891959516938247	1.8309562931881203	-42.1059725086134	42.1059725117336	52.61929155412581	9.838166446575848	0.0023308400249887435	0.0023354992090023614	0.0042121363947977145	0.0008138057805775473	11.65420012494408	11.677496045012152	21.060681973988284	4.184365661322158
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-2.0199318507705573	3.644575439056807	6.824382042348763	1.2271374772213568	38.04585147163293	65.28947643366354	113.90908262096984	19.93132567484126	-0.003173025776513448	0.004309803679819109	0.008412652212249714	0.0015109483176697436	-15.86512888256721	21.549018399095665	42.06326106124867	7.624282436185167
Dp_n	15.486549743985465	36.90390592323144	55.38998780316973	8.383467441675505	4787.563552213803	4909.4624812961	44568.80110104288	8580.177470498063	0.058972687953292066	0.0786200947983944	0.47930615525768244	0.09378654529889827	294.8634397664608	393.1004739919722	2396.5307762884136	460.52381284162703
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
