Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	-17.510136568965013	95.80011024791652	106.65085207818805	9.612897071170952	63.948423825823504	63.948423825823504	639.4842382582336	124.16882399848699	0.010515294782499206	0.010515294782499206	0.10515294782499185	0.021220994815999105	52.57647391249603	52.57647391249603	525.7647391249598	106.2711415536422
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-3.461666954445546	9.252657439236755	30.62834013412512	6.010191155266473	-282.4549622051148	331.089857635277	3064.9287983489817	586.1450509507557	-0.0043713744029010085	0.00457526777941068	0.009595924868188459	0.0018786175237379976	-21.856872014505157	22.87633889705394	47.979624340942614	9.396500368094967
C_buffi	-7.670720380464998	7.670915476018694	55.9633151987319	10.859182199234267	-243.5377397709352	243.53855139272716	1735.9970421150329	339.53732978733217	-0.041363157783006595	0.0413631580199551	0.34797364383217716	0.06916100614405311	-206.81578891503312	206.81579009977585	1739.8682191608864	348.5440647764532
C_im	-1.5896593492456503	1.6138488913460298	16.01891502634061	2.922329833551919	-1426814760.7834582	1426814761.0633426	14268147609.209194	2792028671.371333	3.152020241818459e-05	3.158559439016384e-05	0.00031488105296740383	6.239357516797118e-05	0.15760101209332988	0.15792797195318742	1.574405264836921	0.3006011597341341
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	-2.991461012667857	2.991461012667857	29.914610126678582	5.8234524510311205	-102.23124353575284	102.23124353575284	1022.3124353575282	195.81129735686633	-0.007090985549932309	0.007090985549932309	0.070909855499323	0.013350683200492423	-35.45492774966154	35.45492774966154	354.54927749661516	68.50958597217408
ck2	2.2691711170717226	2.451112577211031	21.20332001304986	4.138670991507302	162.26114098449727	169.07187271691572	1631.435610363613	318.05991430797735	0.025851653266563402	0.02589252916194753	0.2511591094321476	0.04898687818993901	129.25826633281625	129.46264580973758	1255.795547160738	262.5438500451585
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	-1.055003651330467	9.430263165706391	27.695540625214296	5.246283551970638	-375.8826300822994	375.8831126029611	1920.778333073474	379.09534147805425	-4778.801442229017	4778.835480587184	47788.096448016186	9827.920454571784	-23894007.21114509	23894177.402935915	238940482.240081	43144792.224164695
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	22.76330725039576	73.07855638378382	92.5688067447443	11.658378765610253	-18044.81192581273	18316.06059546495	165724.60097929623	33015.148310336896	0.01677897688576471	0.18528521193797182	0.7990965622230198	0.15253258367303651	83.89488442882353	926.4260596898589	3995.4828111150987	758.4027038650944
D_O2	-15.119995116389502	27.374698899784743	55.761665901681916	10.250154008234007	3533.7202991100644	7632.523115320872	56814.384705651566	10879.115323323904	-5.4150660339436465	5.435003912876906	37.74475216315085	7.354456567360474	-27075.330169718232	27175.019564384544	188723.76081575424	37463.14319551567
Dp3_corr	1.7728422228638143	8.790385492883017	20.59400490428744	3.50191814185535	-23141.779660462307	23142.61773537939	228770.4899781629	43430.07110121836	-0.030960489057219143	0.10193452726111904	0.666428189399667	0.12672987611826977	-154.80244528609566	509.67263630559535	3332.1409469983346	636.6803364781698
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-0.5909000809837525	3.086624837134247	6.088369824103791	1.0073016682745504	96.33145535287517	112.97599795798378	684.4994100217853	131.8953005459176	0.0026845298028560756	0.015149597144540354	0.08323259759786884	0.015863738863501224	13.422649014279754	75.74798572270231	416.16298798934406	75.46815264771276
Dp_n	7.323571688804342	32.657306902490845	55.98570279757462	9.078948456953354	9075.259677779199	9593.336201876054	92538.48328968196	17948.65707460729	-0.029229986874465458	0.05315350652478634	0.2736919885601659	0.051814450949354794	-146.14993437232738	265.76753262393163	1368.4599428008298	285.17594417654425
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	-0.7036636220225323	0.7036636220225323	7.036636220225315	1.4789980178705968	-69.57971503804886	69.57971503804886	695.7971503804895	134.30985008491197	-0.007988202999145483	0.007988202999145483	0.07988202999145506	0.0155417536815429	-39.941014995727414	39.941014995727414	399.4101499572746	76.1844797946056
E1NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	-2.6919367382473176	16.37179058558353	34.16335479116405	5.8323739819715845	-17101.93791856441	17106.136337056334	165391.81177229865	32133.481762803876	-1.7318304035686212	1.8108531342723941	17.34361001526121	3.3909635623483285	-8659.152017843104	9054.26567136197	86718.05007630604	16689.49073731811
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	4.011299237030249	22.858840363995682	48.0061334316419	8.530606606032523	-27.91379735954878	205.8127101026701	922.0698400978436	185.0515411374906	0.025857020434670096	0.025857020434670096	0.07546759094864153	0.014454391004779658	129.2851021733511	129.2851021733511	377.3379547432075	73.71763623734206
E_N0	0.13252400795935693	23.556699670123134	55.50749668899431	10.216990941433126	333.8597729907681	461.5773835473091	2043.4632575696062	392.30243276480655	-0.020670207165561682	0.054433284842059323	0.17733805252318663	0.03336836277548176	-103.3510358278085	272.16642421029667	886.6902626159331	163.62782975111747
f_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
