Parameter	HHb_mu	HHb_mu_star	HHb_sigma	HHb_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	HbO2_mu	HbO2_mu_star	HbO2_sigma	HbO2_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	22.13548304611298	22.13548304611298	221.3548304611302	43.144447365628395	6.876811812121884	33.93472770222018	41.53831778150513	4.967561251779844	23.18994086418713	23.18994086418713	231.89940864187096	47.27881531186446	41.646493600459365	41.646493600459365	416.4649360045933	80.96731235647282
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-19.530614329949614	19.81685402213849	87.8837909592466	16.987221712301746	-1.9402476687444272	3.9549073999714146	16.635554906454722	3.2106172168670377	-112.83608649754115	132.3528038314588	1225.3399682141599	234.46828298221712	-178.9586615653897	183.40078537896363	1778.8299274837448	344.1447075679784
C_buffi	3.5258725799707235e-05	0.00014524020105298517	0.0009347155676950104	0.00018151514814360138	-0.00026052980522782264	0.00027315471299281356	0.002663120166277173	0.0005155150505132041	1.1263453197400964e-05	0.00015020363627392896	0.000939558669221753	0.00018614423466255153	1.8885364428911088e-06	2.5401481756119893e-05	8.54659309085814e-05	1.618652349908365e-05
C_im	0.0815000996450204	0.0815841049085416	0.7296437747059129	0.14610870486404035	-0.008337903100391205	0.008428760961869794	0.07518347614542151	0.014517092635910004	-0.14750303858774508	0.14896110642165106	1.3863758659325356	0.27323077541745766	-1.1639249161733694	1.1641324146241812	11.472212802913464	2.326735621461233
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	2077.877174906714	2078.037374741163	20239.55974134888	3908.516681707274	2.965482158961291	4.478389483230467	31.77411102678954	5.930849616980768	2167.8441517625306	2169.5908157216486	20170.419402926338	3997.1403602580513	95.81604577791737	96.69881782708478	562.1421367494687	110.39434807489197
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	75.61844633729021	75.61845549715919	280.1043251889039	56.12364952765829	4.264638029052478	5.947429823791022	30.85670503097696	6.04258054743327	46.96043639255225	132.75404804974048	901.5047875396701	178.17655358033454	32.60082995655051	54.82231896092381	318.74380295733033	63.4149287045771
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	837.8228537630347	3147.3203131020073	18808.312079842235	3587.450984290142	14.893264081323899	27.458916913326174	41.25846642303812	6.547780713812764	826.8919197654571	3215.6983123590976	19136.31930029963	3739.73132488311	232.33797527455826	277.2607835589881	1113.00547510706	215.71034954401892
D_O2	433.2262882766988	2048.6961352730586	13098.316528946498	2611.250485937199	-0.9325168676132398	7.6338752720027285	15.916090450438523	2.67394202088286	404.82091622859843	2302.7274324507757	14209.966721697623	2810.8619249324415	6.289782576845396	62.15802697159421	364.53506488410414	70.68682498663804
Dp3_corr	13.409435569377438	13.409437466101608	14.245396671931	2.660699591256011	0.9496909696773088	2.6227761850485227	3.974471054592117	0.6239298316092057	-11.903318399250928	11.931996021504007	13.756434738498502	2.7297018458170865	-0.29260021831173305	6.007356563703285	11.97995396895771	1.9484350670144244
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	23.72833205257764	59.75677084638792	269.1265306195983	51.14766222675246	5.199573574915145	6.942229028138411	40.09737710413	7.733683191861257	-34.090929619396384	172.93068027350373	921.741203057057	180.35214072550318	-160.78822639997202	305.58640557993	1737.6847009975118	337.05275113424324
Dp_n	-2835372.3024699013	2837713.053924393	28361956.39729919	5449180.424627793	4.003334689994135	17.574831317492944	39.32430078201414	7.033844549637771	-2835443.842032339	2837922.928307138	28362230.25468235	5266861.931100779	-99.59916077939597	465.3558426186491	1638.0661734194364	291.1827942033492
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	42076.62097971147	46978.38606101438	445368.02283218346	86862.59240436013	3.5009487235238503	9.810823853302658	30.684853473689046	5.698686419721575	42018.05672318609	47054.71706953547	445236.03748770314	83742.97182287108	-8.225873660852129	202.00317890014063	901.1320452237726	164.52398336091292
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	27.80637418707948	38.82451445473067	87.54254994230008	16.110092193048192	-0.09826875163529948	8.795764139238118	31.485373151196807	5.960550994990909	-56.14554220230658	130.30117536436418	767.5767119628312	147.85189429955975	38.863092974746195	90.6238814850538	607.7670225850776	120.05563698466172
E_N0	-27.02867488262646	287.090543585065	1547.4019793345558	301.77217475994104	2.742286219117345	13.183773492361778	37.58939350198015	6.894572378459162	82.30466422276149	377.536740594506	2429.9285609708645	481.5646982808327	-387.2756875351581	455.8136014308851	3570.5955176025213	697.4782607212888
f_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
