Parameter	HbT_mu	HbT_mu_star	HbT_sigma	HbT_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	HbD_mu	HbD_mu_star	HbD_sigma	HbD_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	0.0	0.0	0.0	0.0	1.2129186544029835e-16	5.959122084675527e-16	1.5146775159687477e-15	2.6266898727484344e-16	0.0	0.0	0.0	0.0	1.529332216421153e-16	6.381006834033087e-16	1.679889314033338e-15	3.0946393981853575e-16	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	14.455332133161102	14.516022649966315	144.7979706040091	28.44731111124957	0.3161035202208411	0.4175416647353123	2.937262847602106	0.5856446054852301	-0.08669408920078561	0.12659298619771678	0.7107434692557031	0.1361829227538157	15.178645351648706	15.43091015636217	145.4063011462351	28.099201338408605	0.49390378746755237	0.5820056717784743	3.841955120410129	0.7866209960770056
C_buffi	14.41799146876928	14.479540179939915	144.49109432810775	28.104249052241464	-0.03521902489505204	0.03521913686968747	0.33093628511587153	0.06610304019857201	-0.023266539772156244	0.023267624383946927	0.17637139592620255	0.03435965106975874	14.292955528299714	14.537059747113522	144.1675094732766	28.73262430789991	-0.0665503758023559	0.06656231165239776	0.48430013731714183	0.09095486827191133
C_im	-0.019126253070466823	0.04264346599143429	0.3305388695501847	0.06338528664206904	0.003660298731923003	0.06996920621384159	0.471123223095341	0.09127112750291635	-0.006657316676408169	0.02490412740755076	0.18100823388686516	0.03568669796029786	-18.833617976434812	18.998449425486516	189.16660108293635	37.39652783439551	-18.811494705419896	18.861158975170014	188.36573372245883	35.94082745497759
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	0.0002165465626684593	0.09457210914303743	0.48574201497780917	0.09152527420277162	-0.01271795160277186	0.12269753328925041	0.5957103607680495	0.11211553368002773	-0.002406311341810198	0.0900826375606551	0.42124786578229045	0.08171926816742572	0.057745206591089907	0.538964259711138	2.4614388568215237	0.45447378875259353	0.07265292297300881	0.23498925116198582	1.12133272217792	0.21395075085824034
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	-0.0001564218709940622	0.0818321889471575	0.4562769519026572	0.09061165165113046	0.012389339931665924	0.2631271213001645	0.6855436715821847	0.1209533318439	-0.4083362009958602	1.1370183508541827	6.477655818128904	1.2770433283973506	-0.4568919828726256	1.500807609925142	7.125389407379337	1.3432716542687444	-0.06078869993743729	0.15805021271889833	0.5325861624395172	0.10335711048984324
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	-0.06397445833543533	0.2566618214012534	0.9517595398891865	0.17835974149174225	0.27929631481473083	0.7821049238348649	2.7366942681678372	0.5218009305693995	-0.006869608068551802	0.22497838964387437	0.6884010739819286	0.12449766406460379	0.49428196725382295	1.9393105187284092	7.222439201950995	1.3298074463055385	0.28582971884307934	0.8623160501282231	3.963699127328677	0.7701970399307447
D_O2	-0.07761627227308247	0.1809869388490879	0.68402290737214	0.1323808428563913	-0.26164621324394977	0.630543337015897	1.974967729023086	0.38031865483499566	0.49673875002888984	0.9773236245015798	3.8151716642041626	0.7331272042550043	-0.12577493444780913	2.1032581046125944	6.548747373234667	1.2279663891391328	-0.28325119895966705	0.5613568585033234	2.2439851533850645	0.410742455557727
Dp3_corr	-0.07994682532672273	0.08465203855484754	0.44966039633052685	0.08810486699051229	-0.04230088937455105	0.17053075517955232	0.6020301878606367	0.11290966409693308	-0.03516842686896174	0.07686638291342116	0.2813951533263531	0.04865317193419474	-1.6548951173253466	1.7889669167433626	12.990497438282553	2.4923251467705656	-1.497478975755111	1.53185156090953	12.235775196235497	2.3510363516122768
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-0.11163048900490433	0.31381407784331405	1.1335322287306	0.2160652826973325	0.11625970739548717	0.787511000800922	3.536992754381089	0.6809560490439092	-0.4520685870755177	0.5789147536298931	2.9719623139063844	0.5698806738633624	-0.1894813676630826	2.368783270637388	8.359973774565237	1.6148852783678955	0.2579580010218525	0.8747458655443465	3.594927042310631	0.6634634087110601
Dp_n	-1.0912697297929794	1.3820797951313577	6.5507505696956905	1.2413576401382567	0.0135659060946319	0.859067523817822	1.600273807838799	0.270260539116532	117.47617045003621	118.91293569123138	1178.7033081564975	236.5639462546683	116.25705707967109	121.22872228898417	1177.217961261175	233.31180027620624	-0.14140954666675434	0.8166705447749922	1.957022387030989	0.35301645734319115
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	-0.0068998277307013465	0.19931924972523793	0.712830362972423	0.13566411080641078	0.05297879410911349	0.2576528178064336	0.6869261755028405	0.12521825604303524	0.0044580400178245	0.3473103930516619	1.4894806614721716	0.2803432541639711	0.0682482340376017	1.1966556987159245	3.9222180346607183	0.7323437022001369	0.01771122764136515	0.6144207763869438	2.3518116952389203	0.44974676509285927
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	0.029447148403749478	0.15324152990348852	0.6693090496702067	0.13428017048536794	0.11361815604872788	0.33677294868264646	0.9899456349502961	0.1892256607867282	0.32665735037865645	0.4059753840215684	3.3558574438807214	0.6346729371847615	0.2016520115328206	1.2990681708949472	6.191252808933362	1.1719334348172177	-0.2680706432983133	0.45625405677444447	3.14884704299718	0.6200562463011922
E_N0	0.06293533085231313	0.18839332822083837	0.9597439580518191	0.1884386071420417	-0.049357944901005465	0.288162091086527	0.9343990549635547	0.17078880280112005	0.054558533165370376	0.3861680595849483	1.671691721494167	0.3136706987643614	-0.7502340029178193	1.6898405391103493	5.907270959338729	1.1102763356610237	-0.8183699220344974	1.208060435146427	5.446831463770352	0.9938116463593628
f_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
h_0	0.044649863393763534	0.37478450093720606	1.1043667174722358	0.19954705869342387	-0.013131948154165993	0.3809315451945821	1.1216032255775985	0.20134783159478	-0.009268310335713511	0.24918934791282463	0.6761751049218764	0.12408400917326344	19.686941515112114	20.90369552346381	192.06723445331892	37.80035400083488	19.664691910208234	20.059266662969183	191.2328880698799	37.8437747419279
H_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
