Parameter	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	HHb_mu	HHb_mu_star	HHb_sigma	HHb_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	HbO2_mu	HbO2_mu_star	HbO2_sigma	HbO2_mu_star_conf	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf
a_frac_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
a_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
ared_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
b_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
bred_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
c3	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
C_buffi	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
C_im	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
C_NADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
C_NADH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
CBFn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
ck2	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
CMRO2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
CVinh	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
cytox_tot	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
cytox_tot_tis	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
D_O2	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dp3_corr	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dp_30	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dp_CV0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dp_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
DpH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dpsi_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E1NADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E1NADH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_1	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_1n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_2	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_a30	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_c0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_N0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
f_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Gn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
h_0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
H_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
h_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
J_O2n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k10	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k1_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k3	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k30	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
K_G	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k_lk2	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
K_sigma	0.0	0.0	nan	0.0	4.629539702593941	4.629539702593941	nan	1.7416687666587934e-15	4.654426228389232	4.654426228389232	nan	1.7416687666587934e-15	0.13308287502501762	0.13308287502501762	nan	5.4427148958087295e-17	4.592634841633611	4.592634841633611	nan	0.0	14.009683647641802	14.009683647641802	nan	6.966675066635174e-15
k_aut	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k_unc	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
kCV	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Keq1_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Keq2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_CV0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_CVfrac	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_CVmax	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_CVn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_lk0	0.0	0.0	nan	0.0	-0.021238407587229724	0.021238407587229724	nan	0.0	-0.2250979252398531	0.2250979252398531	nan	5.4427148958087295e-17	-8.85317637893757e-05	8.85317637893757e-05	nan	2.6575756327191062e-20	-0.025714264018543764	0.025714264018543764	nan	0.0	-0.27213912860941514	0.27213912860941514	nan	1.0885429791617459e-16
L_lkfrac	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_lkn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
L_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
mu_max	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
n_h	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
n_m	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
NADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
NADHn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
NADNADHrat	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
NADNADHratn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
NADpool	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
O2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
O2c_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_1n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
