Parameter	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	13.66461960063592	114.85234592633462	125.01487746250754	9.865163341673655	13.664619600635966	114.85234592633465	125.01487746250753	10.018364584919079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-0.3491302130630163	8.177022158578247	14.502051339602776	2.2848773418693007	-0.14469012274334125	8.19120679400198	14.472110973776271	2.2496015119607966	-0.20877168643255398	0.34159035098528717	0.5628865879816459	0.09734808690661359	0.0021657980564467726	0.048621715529983386	0.11752014812242871	0.020302114153925712	0.0021657980564485134	0.04862171552998393	0.11752014812242882	0.021440993385799686
C_buffi	-4.487712123813997	4.487868828860207	44.877265869869774	8.760374887248588	-1.793950069434767	1.794106817449868	17.939582914737233	3.517283256574726	-0.7457483994776675	0.7457609087789434	7.457546935047595	1.5136365321235674	-0.9740068274507976	0.9740068391472383	9.740068019657974	1.8056827017889236	-0.9740068274507975	0.9740068391472376	9.740068019657961	1.9013351894637207
C_im	-3.6542631583214145	3.654647993761432	33.328080404366936	6.384931620241296	-2.5128339591651474	2.513232169246202	22.002603993215104	4.332668201713474	-0.2515261500577591	0.25152670297446716	2.51253552668064	0.5027024100711625	-0.44495152454925246	0.44495208403292935	4.4495077991498775	0.9045274766364785	-0.4449515245492517	0.44495208403292813	4.449507799149871	0.8792508443929314
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
