Parameter	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
a_n	112.88921905287287	112.88921905287287	nan	1.1146680106616278e-13	112.88921905287319	112.88921905287319	nan	2.7866700266540695e-14	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
ared_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
b_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
bred_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
c3	6.066163496247555	6.066163496247555	nan	0.0	78.45190431632709	78.45190431632709	nan	2.7866700266540695e-14	59.46894208286409	59.46894208286409	nan	5.573340053308139e-14	-0.026365663447899125	0.026365663447899125	nan	1.3606787239521824e-17	-131.82831723949585	131.82831723949585	nan	5.573340053308139e-14
C_buffi	1.4407295338969561e-06	1.4407295338969561e-06	nan	0.0	-2.077263303590371e-07	2.077263303590371e-07	nan	0.0	8.844756393955322e-08	8.844756393955322e-08	nan	0.0	3.1193921057326435e-10	3.1193921057326435e-10	nan	0.0	1.5596964431097149e-06	1.5596964431097149e-06	nan	0.0
C_im	0.00116402247061842	0.00116402247061842	nan	0.0	3.23875817613839e-05	3.23875817613839e-05	nan	0.0	2.8787159394028095e-05	2.8787159394028095e-05	nan	0.0	2.2052544114414818e-07	2.2052544114414818e-07	nan	0.0	0.001102627205511908	0.001102627205511908	nan	0.0
C_NADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
C_NADH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
CBFn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
ck2	-0.22122475980961553	0.22122475980961553	nan	0.0	0.210281259674181	0.210281259674181	nan	5.4427148958087295e-17	0.07445434916897398	0.07445434916897398	nan	0.0	-0.000101171839362868	0.000101171839362868	nan	0.0	-0.5058591968144412	0.5058591968144412	nan	0.0
CMRO2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
CVinh	1197.3718046583363	1197.3718046583363	nan	4.458672042646511e-13	-66.27881285363752	66.27881285363752	nan	2.7866700266540695e-14	1520.42777188627	1520.42777188627	nan	4.458672042646511e-13	-0.05134516184249101	0.05134516184249101	nan	2.7213574479043647e-17	-256.7258092124542	256.7258092124542	nan	1.1146680106616278e-13
cytox_tot	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
cytox_tot_tis	122.88534130130495	122.88534130130495	nan	8.360010079962209e-14	-19.554126505753942	19.554126505753942	nan	0.0	171.59648277328353	171.59648277328353	nan	5.573340053308139e-14	-0.005830236945855896	0.005830236945855896	nan	0.0	-29.151184729280715	29.151184729280715	nan	0.0
D_O2	26.070978560859032	26.070978560859032	nan	0.0	20.71917100555298	20.71917100555298	nan	6.966675066635174e-15	-25.930111828684787	25.930111828684787	nan	2.7866700266540695e-14	0.00625513285022801	0.00625513285022801	nan	1.700848404940228e-18	31.275664251139375	31.275664251139375	nan	3.483337533317587e-14
Dp3_corr	143.48934136182288	143.48934136182288	nan	0.0	-34.80906656870051	34.80906656870051	nan	1.3933350133270347e-14	226.24841766951982	226.24841766951982	nan	5.573340053308139e-14	-0.009588084330933833	0.009588084330933833	nan	3.401696809880456e-18	-47.94042165466675	47.94042165466675	nan	1.3933350133270347e-14
Dp_30	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dp_CV0	109.43851370395481	109.43851370395481	nan	8.360010079962209e-14	-25.683657881345198	25.683657881345198	nan	6.966675066635174e-15	-9.780930641633788	9.780930641633788	nan	3.483337533317587e-15	0.028974825480290484	0.028974825480290484	nan	2.7213574479043647e-17	144.8741274014523	144.8741274014523	nan	5.573340053308139e-14
Dp_n	-1174.8330796722548	1174.8330796722548	nan	4.458672042646511e-13	70.94090169195037	70.94090169195037	nan	2.7866700266540695e-14	-1532.64193927571	1532.64193927571	nan	0.0	0.0573621191584692	0.0573621191584692	nan	4.0820361718565474e-17	286.8105957923459	286.8105957923459	nan	1.1146680106616278e-13
DpH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Dpsi_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E1NADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E1NADH_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_1	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_1n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_2	26.907228684026734	26.907228684026734	nan	0.0	-60.005681303669355	60.005681303669355	nan	0.0	-25.21989997430635	25.21989997430635	nan	6.966675066635174e-15	0.02242207757688526	0.02242207757688526	nan	2.0410180859282737e-17	112.11038788442593	112.11038788442593	nan	5.573340053308139e-14
E_a30	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
E_c0	0.9483513201063829	0.9483513201063829	nan	0.0	0.6504899354700768	0.6504899354700768	nan	0.0	-0.04600674954503603	0.04600674954503603	nan	0.0	6.875987486125446e-05	6.875987486125446e-05	nan	0.0	0.3437993743063714	0.3437993743063714	nan	0.0
E_N0	-1.8206218674289403	1.8206218674289403	nan	0.0	-1.1643990611916681	1.1643990611916681	nan	4.3541719166469836e-16	-0.8206539887552253	0.8206539887552253	nan	0.0	3.287966057127778e-05	3.287966057127778e-05	nan	0.0	0.16439830285673906	0.16439830285673906	nan	0.0
f_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
Gn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
h_0	-981.2709073776722	981.2709073776722	nan	4.458672042646511e-13	-6.3046959672295415	6.3046959672295415	nan	3.483337533317587e-15	-580.9765653524557	580.9765653524557	nan	2.2293360213232556e-13	-0.07878217277704198	0.07878217277704198	nan	0.0	-393.9108638852111	393.9108638852111	nan	3.3440040319848836e-13
H_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
h_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
J_O2n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k10	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k1_n	50.55207187409451	50.55207187409451	nan	0.0	139.13894537638123	139.13894537638123	nan	1.1146680106616278e-13	-26.632356633582184	26.632356633582184	nan	2.0900025199905523e-14	-0.012388425688603058	0.012388425688603058	nan	1.0205090429641368e-17	-61.94212844301529	61.94212844301529	nan	6.966675066635174e-14
k2_n	1.2893870979432336	1.2893870979432336	nan	0.0	-0.4444496164154952	0.4444496164154952	nan	1.0885429791617459e-16	-0.3946864007531161	0.3946864007531161	nan	0.0	0.00042561949912298114	0.00042561949912298114	nan	0.0	2.128097495614952	2.128097495614952	nan	0.0
k3	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
k30	10.028698256621453	10.028698256621453	nan	0.0	-14.993862960380659	14.993862960380659	nan	6.966675066635174e-15	-3.6522989903006433	3.6522989903006433	nan	8.708343833293967e-16	0.005733825276405272	0.005733825276405272	nan	0.0	28.669126382026377	28.669126382026377	nan	0.0
K_G	3121.0613010050165	3121.0613010050165	nan	1.7834688170586045e-12	9.863890872503738	9.863890872503738	nan	3.483337533317587e-15	402.1710238630895	402.1710238630895	nan	0.0	0.5416969378663117	0.5416969378663117	nan	2.1770859583234918e-16	2708.484689331559	2708.484689331559	nan	1.7834688170586045e-12
k_lk2	111.17311873917663	111.17311873917663	nan	5.573340053308139e-14	-26.095988685227184	26.095988685227184	nan	6.966675066635174e-15	-10.078325246937965	10.078325246937965	nan	0.0	0.029463593815505063	0.029463593815505063	nan	0.0	147.31796907752522	147.31796907752522	nan	0.0
K_sigma	-1.9228637840190572	1.9228637840190572	nan	0.0	0.0014687050218302744	0.0014687050218302744	nan	0.0	-0.23109643507082467	0.23109643507082467	nan	0.0	-0.00033857949489508876	0.00033857949489508876	nan	0.0	-1.6928974744756147	1.6928974744756147	nan	0.0
