Parameter	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	83.21526105022512	159.09849886067917	177.73504096612322	21.66425871286181	83.21526113684325	159.09849894729726	177.7350410803328	22.475821066441757	4.599274050498536e-09	4.599274050498536e-09	4.5992740504985284e-08	8.817093070309194e-09	-4.5608757037740586e-08	4.5608757037740586e-08	4.5608757037740414e-07	8.27423569033614e-08	-4.560875686898669e-08	4.560875686898669e-08	4.560875686898652e-07	8.822055364754161e-08
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	-10.90387284664106	10.90387284664106	109.03872846641055	21.578460599270596	-8.486778460055298	8.486778460055298	84.86778460055295	16.236109631685345	-1.2216714905997161	1.2216714905997161	12.21671490599716	2.3430182272048286	-0.5977114479930224	0.5977114479930224	5.977114479930226	1.1806269609125137	-0.5977114479930217	0.5977114479930217	5.977114479930218	1.1912331788014408
c3	-2458.09896461719	2482.9026022595035	22968.793471525958	4401.483538721562	-20.98880695935695	40.91664639623661	185.72937917022605	35.02841760256276	-9.454470338622622	11.22454262818269	91.14954911191414	17.62360713552156	-1213.8278436596063	1215.619873801236	11407.274850623859	2304.334855031786	-1213.8278436596047	1215.6198738012345	11407.274850623842	2265.2019800380453
C_buffi	102.86595039881222	102.86958423810829	771.7445370465074	149.00125497752603	26.637910306023358	26.64150613012549	182.35651363123048	34.25586832017979	6.036482542653858	6.03655765822471	43.66649050080984	8.498400988953204	35.095778775067714	35.095780150244835	281.4537939678733	54.90571668182965	35.09577877506765	35.095780150244785	281.45379396787285	56.1750857312324
C_im	5576235.047345072	5760076.0765960645	56698287.06396243	10925982.273376064	-12.090458382807306	17.411149653793668	89.86011247178061	17.2200109641748	5668157.221843045	5668162.07848792	56681553.80023233	10933394.062828664	-45955.04201979543	45955.23397287734	459533.82576034544	90110.52781587536	-45955.042019795386	45955.23397287729	459533.825760345	86371.94252561501
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	48029.95826691463	1400796.3222712916	9246325.919618778	1788086.4524995568	11.837343479875523	12.495350975425021	88.76942259886411	16.448804750742134	48282.35320058642	1400532.4954440314	9246371.553064007	1861329.5636302272	-132.1161385759547	133.8901396907947	1323.9873612775182	256.177221024071	-132.11613857595455	133.89013969079454	1323.9873612775166	246.37258440206205
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	-8048.956728346617	8107.121208379657	80710.96165562396	16489.496662256443	2.036787668731676	44.319608798551435	178.0442808109867	34.31651854977391	2.569004648857174	5.069167729554	17.154222983919713	3.1808914953669003	-4026.7812603321054	4030.0297826653286	40282.23907685846	7794.135519979796	-4026.7812603320995	4030.029782665323	40282.2390768584	7690.876736016274
