Parameter	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	13.869249166876745	39.80051521731987	44.52808235552499	4.672239643672236	13.869249187330778	39.8005152377739	44.52808236763397	4.908006563195416	-2.7543284608633202e-09	2.7543284608633202e-09	2.747750063907488e-08	5.220523236752624e-09	-8.849917821629471e-09	8.849917821629471e-09	7.33858434500051e-08	1.4979690482869875e-08	-8.849917842723708e-09	8.849917842723708e-09	7.338584349656015e-08	1.3930257359467582e-08
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	1.8379293468078228	1.8379293468078228	18.37929346807819	3.627283647643978	1.2487259390258245	1.2487259390258245	12.487259390258222	2.4871081580583176	0.2867014907793366	0.2867014907793366	2.8670149077933615	0.5651146863317875	0.15125095850133075	0.15125095850133075	1.5125095850133103	0.28923312668027273	0.15125095850133086	0.15125095850133086	1.5125095850133112	0.28606730444998507
c3	0.826824974084995	1.8657558522474889	7.237226063394902	1.4018194492529943	0.9247648421814416	1.7295548392723492	6.627304780878966	1.2140942174273923	-0.018910975282028994	0.18969706391839117	0.7319470925630234	0.1374430400113284	-0.03951444640720697	0.04388945762306983	0.33770229109281497	0.06392980512623923	-0.039514446407208505	0.04388945762306932	0.3377022910928149	0.06358097576932482
C_buffi	-0.0009830494019027615	0.001425648051983367	0.008511425788647567	0.0016819352477415806	-0.0009867145056491806	0.0014289197166013467	0.008527559624159709	0.0016249376122194146	5.125692853711825e-07	8.832872151791696e-07	3.852240683501542e-06	7.001081405156554e-07	1.5762672245626246e-06	1.60334926913773e-06	1.5377797052265188e-05	3.0826721879656097e-06	1.5762672320082312e-06	1.6033492765424664e-06	1.5377797024290427e-05	2.9838223898882546e-06
C_im	-1.4941157714748023	14.13673707918815	78.22237605883504	15.317963622371828	-3.8107922006360777	3.91327758109952	23.60500315733697	4.761348328443552	-2.198417671869295	2.2012916998802132	11.526800994964878	2.2286247996420787	2.2575470505152966	4.58575522185291	35.15300012187346	6.969443109566206	2.2575470505152846	4.585755221852899	35.15300012187349	6.969535412389164
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
