Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	0.28751621005658523	91.5181053205547	103.7213613830678	9.479889299296044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-2.5563566778111477	9.222582562567398	22.794610001632428	4.189181834951587	-349.29298664002215	407.8622679147916	2676.995344109621	525.7610426276206	-190692.62834641268	190692.6284941716	1906925.4456107232	363054.4505441248	-953463141.7320638	953463142.470858	9534627228.05361	1797231871.2520316
C_buffi	0.00031355769007348713	0.0003340151934960622	0.003044891432691695	0.0005755786537434043	-0.0082639761821018	0.008274228577582364	0.07580442367737582	0.014411453697108766	-1.3546518518384419e-05	1.3546899734336489e-05	0.00013545585599184412	2.6597163589971213e-05	-0.06773259259130499	0.0677344986720675	0.677279279957876	0.12941373926176414
C_im	-1.8288635755275613	1.8288742142268208	18.188442328076942	3.525007361635266	-173.1756647288459	173.18012519895547	1731.6896281523236	341.7699514625777	-0.07987434231236437	0.07988151393050383	0.79877926263454	0.15378579126484024	-399.3717115618222	399.4075696525192	3993.896313172701	763.7624766450512
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	-4.328028439161303	5.397983292411684	46.93079501046527	9.298964972150571	57.82544050465126	414.57500673596996	2479.235123586923	476.50886066381804	2.8822053674361365	2.959244844480103	29.152432789046884	5.955148122070371	14411.026837180683	14796.224222400515	145762.1639452345	28685.952875538194
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	7.117727524943366	12.560858051520716	57.408609643367356	10.990836694311263	-112.44410390026955	146.6715035422846	221.6013652282138	39.727696815903684	0.021740383873652826	0.021740383879286514	0.047601165296654195	0.009295765354420824	108.70191936826467	108.70191939643215	238.0058264832707	47.00029934817864
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	16.816398591807886	63.653368763921954	94.46165501458601	14.104555469551489	13031.748195448432	31265.059202091106	230334.84773905363	45114.17599796074	-0.056049757741093956	0.5327987388459948	1.9848554625530679	0.3634580487881916	-280.248788705471	2663.9936942299746	9924.277312765338	1851.1304655176723
D_O2	-6.572563792533508	25.9174549131317	55.88294599653281	9.078310025738208	-2197.2376876584763	7747.505681019131	32684.7331603298	6149.114739518517	2666.4748062095746	2666.474806265438	26660.302970198532	5162.076204419025	13332374.031047873	13332374.031327195	133301514.85099268	25678219.125434063
Dp3_corr	1.643702730772955	8.454066049591836	13.1788657678728	2.0388276280413824	-39.26128865961768	39.26642512546507	45.768266946961816	8.669056425966772	0.004619367102398501	0.004619535399106433	0.00847607615093128	0.0016204157061489846	23.096835511993905	23.0976769955307	42.38038075465547	8.47225707204719
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-0.19253772887671364	2.6145986208781617	5.13137882799024	0.8676640882095044	28.69526499662935	48.91027273667571	102.94335386361946	18.28210616178409	-0.0034530792151097607	0.006508103964184681	0.016125926146895363	0.0029247857905548343	-17.265396075548626	32.54051982092338	80.62963073447695	14.298941668030187
Dp_n	11.276769749740806	37.2849824163538	63.78623056122987	10.119309180607237	500.82219120528526	664.5908585534967	3594.4596849542213	698.4881667969398	1.0495052804064557	1.0796301083943964	10.222450551681774	2.0123584945227853	5247.526402032278	5398.150541971982	51112.25275840886	9452.943272170729
