Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	57.55512445071605	146.69372756762033	161.2170023933727	17.527391217310072	7.141833440016399e-07	7.141833440016399e-07	7.1418334400163945e-06	1.372875355753389e-06	-1.5837215983083296e-11	1.5837215983083296e-11	1.5837215983083337e-10	3.077513242254203e-11	-7.918611231616524e-08	7.918611231616524e-08	7.918611231616516e-07	1.4893085333558945e-07
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-0.6274510916899545	6.21523262293957	17.240040643506546	3.162549683072683	-13.202131117122002	27.07741253004859	78.78756414512065	15.272057208406357	0.0013330127905710218	0.002265034641331967	0.006242267906048772	0.0011994201981690574	6.665063952855003	11.325173206659796	31.211339530243936	5.811038539324744
C_buffi	1.8798909463651898	7.01128130946514	51.18130963819792	9.763861389208929	-88.91571823662726	194.59876179077276	1488.0126473736466	284.93964734014605	4.132998072928927	4.180211609631932	41.56910184575233	7.759496397580587	20664.990364644622	20901.058048159663	207845.50922876148	39844.967554618655
C_im	1.5388009328973178	1.9529859309176876	15.569223242648702	3.0147324698193363	-74.69505819069998	74.70534435976134	746.9916923236179	148.16221655068554	-673.2981730328532	673.2981780923626	6732.9817557940005	1372.5436470801778	-3366490.865164263	3366490.890461812	33664908.77896998	6240204.411051012
C_NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	6.504503543421916	6.504503543421916	65.0450354342193	12.719661769140274	9.21208482431478	9.21208482431478	92.12084824314772	17.58785123868106	0.012729175786085439	0.012729175786085439	0.12729175786085425	0.024267842246842877	63.64587893042718	63.64587893042718	636.4587893042718	120.93178071240902
ck2	-1.2864519461140056	34.1995440376728	116.65456778289817	21.869305070571148	-2185.3814857341044	3097.4781963029072	18493.353968792526	3629.116813964949	-0.5429874277544734	0.7115241729997567	5.109062654093518	0.9803306378921602	-2714.9371387723695	3557.620864998784	25545.313270467577	4969.283635803051
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	4.890270745768615	15.253184431638202	44.38244526821096	8.755584603151242	86.11713301086293	149.54235117439342	388.49442395332886	74.82568629655584	0.029005332210262417	0.04358031659131427	0.2715325885505782	0.051907323201499767	145.02666105131203	217.90158295657125	1357.6629427528917	238.63226450499533
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	32.917536829804256	95.56829784423729	159.81768973723229	26.33935354739156	-20706414.13772867	20723247.05534662	207130567.56978592	40514556.65480731	-0.08202999650978134	0.15209620230857632	0.7998699031296479	0.15404615502805805	-410.1499825489058	760.4810115428824	3999.349515648239	753.702640929562
D_O2	-28.192679859425503	54.754152617333986	165.1891879686803	31.15771234170791	-1581.6908498356795	3023.2225196087734	11261.047603692945	2194.8262932111234	0.3671906878581996	0.4825764133862894	3.3824090116670433	0.643591068984161	1835.9534392909982	2412.8820669314464	16912.04505833522	3387.9913775568843
