Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	40.54120017135875	151.5667651194837	182.98672127910507	20.56480130398591	1.6281106156590398e-08	1.6281106156590398e-08	1.6281106156590395e-07	3.1393829987106e-08	-5.340790920627114e-11	5.340790920627114e-11	5.340790920627136e-10	1.0649527833507043e-10	-5.3407993583221014e-11	5.3407993583221014e-11	5.340799358322104e-10	1.0335202300354201e-10
ared_n	-8.48589204243646	16.699737587920726	132.84976552979796	24.66471954415711	0.08788713755238377	1.6842068224599067	11.985096567687856	2.217927628925312	-0.08550869997786478	1.0307040116963762	7.349555963854674	1.4561364966305663	-0.08550869997786464	1.0307040116963746	7.349555963854662	1.456011829200863
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	-25.002684634208823	33.08255404358985	129.40654352270704	24.86987512657593	-5.568371043445605	5.950536065055132	29.732806715883523	5.94175609070897	-8.41763260083948	8.452459674626748	66.31768046164272	12.871773102361207	-8.417632600839465	8.452459674626734	66.31768046164261	13.159471778169591
C_buffi	-7.687498085574972	7.688765909633333	57.27991267164916	11.13192718754385	-2.109464355769884	2.1106243571646037	17.190705858974447	3.4962697619821244	-7.2808399449854235	7.280848476549218	65.92441455721058	12.25992356576645	-7.280839944985408	7.280848476549214	65.9244145572105	12.27823965543858
C_im	9.574686396428978	9.689819654847119	88.0807667826028	17.00324659271775	2.590776868288475	2.5911994455310365	19.640125388091075	3.770689876438	1.7044644343319566	1.7044659492874457	11.993696843989722	2.28904204058316	1.7044644343319777	1.7044659492874665	11.993696843989703	2.3786469570560924
C_NADH	4.106922772742133	4.106922772742133	41.06922772742134	8.271071919150307	0.8860469800061452	0.8860469800061452	8.860469800061452	1.7129774843685506	0.4725976558592556	0.4725976558592556	4.7259765585925555	0.8873562284091493	0.47259765585925495	0.47259765585925495	4.725976558592548	0.9016121235433167
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ck2	-12.10722141064767	22.805693607145972	121.56819664879396	23.22795886223882	-8.180091442009575	8.98764929508704	53.629769898135095	10.687348252413075	19312.296848658927	19320.440750354348	193091.64610425275	38327.81248664035	19312.296848658905	19320.44075035433	193091.64610425255	39221.678870044416
CMRO2_n	6.4046124966512	6.4046124966512	64.04612496651211	12.978925769394662	0.7083316458624982	0.7083316458624982	7.08331645862496	1.4279229176392898	0.7201218535626528	0.7201218535626528	7.201218535626531	1.3776262560994135	0.7201218535626519	0.7201218535626519	7.2012185356265235	1.384290958616007
CVinh	-4.9924675448817935	18.611109540011412	81.31019772894285	15.393665896251278	-0.9406552676287357	3.385749403435637	17.384220515417024	3.4170932318567084	155.38289970967142	156.3258073211057	1558.2895118562346	298.1305186862552	155.38290115925636	156.32580877069068	1558.2895263520627	307.108288828066
cytox_tot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cytox_tot_tis	36.69825562916351	110.66207873864096	220.1463521736081	35.860514280678586	-127.57312110106824	151.27701660899638	983.056720629743	190.91092244818003	5.059816870485454	9.25153917879436	38.69939353853506	7.229528504910603	5.059816870485454	9.25153917879434	38.69939353853502	7.359289298504923
