Parameter	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	Vmca_mu	Vmca_mu_star	Vmca_sigma	Vmca_mu_star_conf
a_frac_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a_n	10.39406128145076	41.21917537824135	46.2446986843613	4.499279355917939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ared_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bred_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3	3.8190358998901712	7.141635446317192	42.82894199642388	8.364509700657832	1.0399062270790134	1.644665227027011	9.678045954740325	1.9021395548114335	-2.2486818094167544	3.0335975698677813	26.49078761984394	5.535597689445417	-2.248681809416758	3.0335975698677835	26.490787619843957	5.176547059243063
C_buffi	-0.9159721259552102	0.91906826744251	9.173132524516733	1.7777219090769965	-0.7414128701757058	0.7422237478841978	7.4179487349748445	1.442825646759739	-0.2215182950295972	0.22151838310723065	2.215175570175647	0.43514733063789246	-0.22151829502959924	0.22151838310723135	2.2151755701756475	0.4328551680607153
C_im	1.912364471870007	3.763772841205722	23.176507968839953	4.4509406515567775	0.42565117456279183	1.0919429918595782	6.709072186211224	1.2966930943560466	-0.8033283232185668	3.2402107828207773	22.004068281834606	4.235928875943368	-0.8033283232185632	3.240210782820782	22.00406828183462	4.37463358705916
C_NADH	-2.719978843595194	2.719978843595194	27.19978843595195	5.306981734477211	-0.15517063411035484	0.15517063411035484	1.5517063411035508	0.29987957127756626	-0.08068307785714934	0.08068307785714934	0.8068307785714943	0.159774018946248	-0.0806830778571494	0.0806830778571494	0.8068307785714949	0.15884161077829204
C_NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBFn	-2.9821034205923045	2.9821034205923045	29.821034205923105	5.66336627738571	-0.1448251431512008	0.1448251431512008	1.4482514315120072	0.2854770763345034	-0.08351550007211796	0.08351550007211796	0.8351550007211807	0.1617071312872169	-0.08351550007211803	0.08351550007211803	0.8351550007211814	0.1574039168714195
ck2	4.16864981722748	4.377550221706311	33.95266797800129	6.809000139957857	4.266107860687414	4.294817496391035	31.29745016751513	5.866734754998877	4.348369399454884	4.349608250558022	41.30189913492241	8.039305857846767	4.348369399454895	4.349608250558039	41.30189913492244	8.031914402427077
CMRO2_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CVinh	2.411415929127857	9.218741166606705	39.45974778417526	7.538502828011965	-0.7093643121255326	2.624216719196832	10.690654199825138	2.130713734193216	0.3571045998621482	1.5591461525846015	7.2257580947216535	1.337248483649508	0.35710459986214976	1.559146152584601	7.225758094721658	1.329631332396714
cytox_tot	-0.41757903639984084	0.41757903639984084	4.1757903639984	0.7921177659276889	-0.3828869049816981	0.3828869049816981	3.8288690498169795	0.775601106997721	-0.19995424371802653	0.19995424371802653	1.999542437180263	0.39165667724108916	-0.19995424371802667	0.19995424371802667	1.9995424371802644	0.39512941170723564
cytox_tot_tis	-0.2720980180615571	23.74802748255648	40.58606430584888	6.1475957559909595	4.9578376561729485	9.748885224464123	58.90802540149655	11.297236157709404	0.002599361905179377	11.04302230307657	62.03980343011183	11.787675403705284	0.002599361905180141	11.043022303076578	62.03980343011188	12.353463355559176
D_O2	-3.7342936170557546	13.37284423218545	47.774663903381786	9.181445474704574	-322.9051740865975	324.64852909316215	1796.5588085078878	355.7032758059702	-0.6482269605311949	0.9296517886447074	3.5820175937443275	0.677466904646707	-0.6482269605311963	0.9296517886447088	3.582017593744329	0.675839533961745
Dp3_corr	3.3968708276433937	9.771863341231834	40.65805705134128	7.820051905118481	0.8443757832069434	2.4736975434934476	10.137296219794047	1.9023462013892525	-1.981151925820699	5.083806125519449	29.428340225200312	5.815298233402306	-1.9811519258207015	5.083806125519452	29.428340225200344	5.728258501791516
Dp_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dp_CV0	-5.342587653336803	6.065418421388901	24.632953127269204	4.666384625269736	-0.8206925165789863	2.8397439440960364	11.973428534989468	2.13710022725323	-2.8767107671470775	3.350187160903532	26.421820584474087	5.152954639196699	-2.8767107671581353	3.350187160914589	26.421820584472947	5.238367608835153
Dp_n	4.941968208471109	19.551282737336376	37.37061010778496	6.330975986683405	7.213866718047701	16.07214901908953	67.19475385432438	13.263295141844376	-4.779769107576648	23.649455523807543	156.59738455879227	30.505914252763404	-4.779769107576645	23.649455523807546	156.59738455879238	30.64112436450431
DpH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpsi_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E1NADH_n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_1	2.0280416685856397	2.0280416685856397	20.280416685856398	3.9559438625161296	0.445182985400211	0.445182985400211	4.451829854002111	0.8501468558384443	0.14337629793374937	0.14337629793374937	1.4337629793374935	0.2831520521361673	0.14337629793374948	0.14337629793374948	1.4337629793374946	0.2895159196646824
E_1n	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_2	2.667860464424998	6.751606806533021	23.974437512588597	4.53189233578622	33.710471762240395	37.31262538833165	341.3007787638485	64.64883360624911	-4.188429112119251	6.606397692611463	38.6961097555635	7.799791014268382	-4.188429112119257	6.606397692611464	38.696109755563526	7.365014330850861
E_a30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E_c0	-0.7576045059393306	7.733742291515508	32.488963390662654	6.213824716319657	-0.29731121497893676	1.6521322719277753	7.728010961557247	1.511482425207863	-0.0037882812151007893	0.37439469575468787	2.371843936132712	0.4535323106759212	-0.003788281215100931	0.37439469575468814	2.3718439361327137	0.47790223651326
