t,P_a
0.0,90.2524863953
1.0,90.1554237311
2.0,90.2329411057
3.0,90.3445540583
4.0,90.0989240319
5.0,90.1568590019
6.0,90.183592629
7.0,90.3753307628
8.0,90.1637310223
9.0,90.6574432494
10.0,90.7106623925
11.0,90.493968086
12.0,90.8345916845
13.0,90.6005814195
14.0,90.4452715937
15.0,90.8155269141
16.0,90.7275836378
17.0,90.7799316796
18.0,90.8018468398
19.0,91.0229614999
20.0,90.9579547044
21.0,91.1917365139
22.0,91.0585915124
23.0,90.8697968131
24.0,91.0161343712
25.0,90.9472250869
26.0,91.1828390721
27.0,91.2954833899
28.0,91.1217328101
29.0,91.1358601019
30.0,91.210879554
31.0,91.4617755585
32.0,91.3520549523
33.0,91.3326152229
34.0,91.3643826417
35.0,91.4609058843
36.0,91.5356585315
37.0,91.6234497494
38.0,91.9276027395
39.0,91.865902092
40.0,91.6724162255
41.0,91.5871439628
42.0,92.0656912182
43.0,91.8376249885
44.0,91.9263800588
45.0,91.87869103
46.0,92.2349617686
47.0,92.2092124535
48.0,92.1924727954
49.0,92.1173014782
50.0,92.4878415541
51.0,92.0981150351
52.0,92.3474985537
53.0,92.2483495977
54.0,92.5929549236
55.0,92.6582998557
56.0,92.5360292943
57.0,92.7663560694
58.0,92.6358158473
59.0,92.7484604808
60.0,92.827031372
61.0,92.9462299977
62.0,92.8741493975
63.0,92.9366842885
64.0,92.7514774779
65.0,93.1132509861
66.0,92.8320759036
67.0,93.0605692759
68.0,93.1070536637
69.0,93.2065553854
70.0,93.6171840052
71.0,93.4296716197
72.0,93.0470502354
73.0,93.4672084807
74.0,93.327872835
75.0,93.3727513345
76.0,93.6351127666
77.0,93.7409477171
78.0,93.3909856832
79.0,93.8049125364
80.0,93.747495717
81.0,93.8579492052
82.0,93.9343227094
83.0,93.5084159338
84.0,93.7761114798
85.0,93.8384843213
86.0,93.904132064
87.0,93.616810166
88.0,93.9543542983
89.0,94.1740187778
90.0,94.1406469617
91.0,94.1536474168
92.0,94.2023313089
93.0,94.2458367703
94.0,94.2055568678
95.0,94.1700184818
96.0,94.2884930884
97.0,94.2496310193
98.0,94.462610884
99.0,94.2546236641
100.0,94.2139491252
101.0,94.811391848
102.0,94.6740598364
103.0,94.6547118293
104.0,94.4970502767
105.0,94.8532517229
106.0,94.665646925
107.0,94.7056817336
108.0,94.8032893274
109.0,95.0230649962
110.0,95.0244101072
111.0,94.9556419687
112.0,94.7790575999
113.0,95.149953043
114.0,95.2183164802
115.0,95.0993130105
116.0,95.3787705899
117.0,95.2595624702
118.0,95.4395801799
119.0,95.5348912094
120.0,95.5869151593
121.0,95.4227845558
122.0,95.5643047098
123.0,95.6311868213
124.0,95.4735144534
125.0,95.5998451441
126.0,95.6309535169
127.0,95.7477846478
128.0,95.8307775552
129.0,95.7369662837
130.0,95.6910641359
131.0,95.7162761938
