t,P_a
0.0,77.3185587996
1.0,77.6590194959
2.0,77.6686267207
3.0,77.0905989906
4.0,77.2594343499
5.0,77.6969949465
6.0,77.0227668544
7.0,77.7372061813
8.0,77.3660177063
9.0,77.1585534742
10.0,76.4821337147
11.0,78.9900645354
12.0,76.4461043896
13.0,77.6340923578
14.0,77.4720964388
15.0,77.3786229076
16.0,78.1402058801
17.0,77.9179883516
18.0,77.6116835699
19.0,77.1119147279
20.0,76.7130669048
21.0,77.9383525867
22.0,77.706330129
23.0,76.2978768621
24.0,77.6414227432
25.0,77.0380897036
26.0,77.0347993534
27.0,77.6614101161
28.0,77.4968848494
29.0,77.0679092952
30.0,77.2752168213
31.0,76.9034559106
32.0,76.4037366817
33.0,77.1531168113
34.0,77.1320544724
35.0,77.3151112323
36.0,77.3708053655
37.0,77.1062594874
38.0,76.4676839662
39.0,76.4496968114
40.0,76.1830442279
41.0,76.9587379972
42.0,77.3068066927
43.0,76.8284088145
44.0,77.6535461547
45.0,77.1122877247
46.0,77.7601989941
47.0,77.3807733206
48.0,77.3178988019
49.0,77.8429583056
50.0,77.7103598292
51.0,77.7127736809
52.0,77.2886594368
53.0,77.7668818347
54.0,77.6172677286
55.0,76.6304588835
56.0,77.0917774046
57.0,78.0314384116
58.0,76.6238002736
59.0,77.9857220782
60.0,77.6049881036
61.0,76.9613168886
62.0,77.712130889
63.0,76.9390221374
64.0,76.9960457027
65.0,77.9012047788
66.0,76.9148337751
67.0,78.0071231331
68.0,77.2044374461
69.0,77.1287837013
70.0,77.8768034037
71.0,76.6078430173
72.0,77.3993909713
73.0,76.8441302509
74.0,77.5922091046
75.0,77.3402861678
76.0,77.0076901682
77.0,77.5673536597
78.0,76.4347312728
79.0,76.6194724303
80.0,77.7287177431
81.0,77.2815602091
82.0,77.2953309915
83.0,77.5846353806
84.0,76.3966076532
85.0,77.3566785818
86.0,78.2447952128
87.0,77.7828551235
88.0,78.0277990859
89.0,77.0924740786
90.0,77.5374161526
91.0,77.9727290773
92.0,77.3818941164
93.0,76.7395019373
94.0,77.8976008956
95.0,77.5127947998
96.0,77.4907679567
97.0,77.4507131455
98.0,76.6188971394
99.0,77.3906828606
100.0,77.1103939606
101.0,77.2599201586
